"Sexo, según DNI.",¿Qué edad tienes ?,¿Qué carrera estás estudiando actualmente?,¿En qué ciclo te encuentras actualmente ?,"¿Cuánto tiempo estás en la universidad? (Horas promedio por día) Ejemplo: 5 , 6.30. Determina el decimal con punto.",¿Qué lugares prefieres usar dentro de la universidad?,¿Qué ambientes te gustaría que se implementen en el nuevo campus UTEC?,¿Cree usted que se debería de implementar espacios recreativos? ,¿Cuántos lugares recreativos cree que sería conveniente tener la nueva ampliación de la universidad? ,"¿Cuánto tiempo te demoras en encontrar un lugar para estudiar? (Horas promedio por día)  (Determina el decimal con un punto ejemplo: 0.5 ,1 , 3)",Áreas verdes ,Salas de estudio (piso 1 y piso11),Biblioteca,Zonas recreativas,Laboratorios,Cubículos,Áreas verdes,Salas de estudio,Cubículos,Zonas recreativas ,Espacios recreativos,Sala de estudio,Cubículos,Biblioteca
F,22,Ingeniería Electrónica,7,7,"Biblioteca, Aula, Cubículos","Áreas verdes, Salas de estudio, Gimnasio, Campo deportivo, Zonas recreativas",,,0.5,1,1,1,1,1,1,3,2,2,1,1,1,2,0
M,18,Ingeniería Industrial,2,8,"Cubículos, Bloques de madera -Piso 6","Áreas verdes, Cubículos, Auditorio, Gimnasio, Campo deportivo, Comedor con comida rápida, laboratorios, Zonas recreativas, Comedor",,,0.5,3,3,3,3,4,5,5,1,20,10,1,0,4,0
M,20,Ingeniería Civil,2,5,Biblioteca,"Áreas verdes, Aulas, Gimnasio, Campo deportivo",,,10,3,3,3,3,3,3,4,3,2,4,3,5,5,5
M,23,Ingeniería Industrial,6,6,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11","Cubículos, Gimnasio",,,1,1,2,3,1,3,3,3,10,10,3,0,3,3,3
F,17,Ingeniería Industrial,2,1,"Aula, Cubículos, Bloques de madera -Piso 6, Auditorio de la universidad","Cubículos, Aulas, Auditorio",,,0.5,3,1,2,2,3,5,3,2,10,2,0,3,5,1
M,18,Ingeniería Mecánica,7,7,Aula,Comedor con comida rápida,,,1,3,3,3,3,4,3,2,3,4,5,6,2,5,4
M,20,Ingeniería Mecatrónica,6,5,"Biblioteca, Cubículos, Sala de Estudios - Piso1","Áreas verdes, Salas de estudio, Cubículos, Aulas, Auditorio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,0.5,3,4,4,3,5,5,5,1,10,2,1,1,0.1,1
M,17,Bioingeniería,2,5,Áreas verdes,"Áreas verdes, Salas de estudio, Cubículos, Auditorio, Gimnasio, Campo deportivo, Comedor con comida rápida, Zonas recreativas",,,1.5,2,3,4,3,5,1,3,2,15,4,0,1,1,1.5
F,18,Ingeniería Industrial,2,5,"Biblioteca, Cubículos, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Auditorio, Campo deportivo, Comedor con comida rápida, Zonas recreativas, Comedor",,,0.30,3,3,4,2,5,2,5,3,20,4,0.5,2,1,0
M,17,Ingeniería Industrial,2,8,"Aula, Sala de Estudios - Piso1","Salas de estudio, Gimnasio",,,1.2,3,4,4,4,4,4,4,4,20,2,2,1,1,5
