"Sexo, según DNI.",¿Qué edad tienes ?,¿Qué carrera estás estudiando actualmente?,¿En qué ciclo te encuentras actualmente ?,"¿Cuánto tiempo estás en la universidad? (Horas promedio por día) Ejemplo: 5 , 6.30. Determina el decimal con punto.",¿Qué lugares prefieres usar dentro de la universidad?,¿Qué ambientes te gustaría que se implementen en el nuevo campus UTEC?,¿Cree usted que se debería de implementar espacios recreativos? ,¿Cuántos lugares recreativos cree que sería conveniente tener la nueva ampliación de la universidad? ,"¿Cuánto tiempo te demoras en encontrar un lugar para estudiar? (Horas promedio por día)  (Determina el decimal con un punto ejemplo: 0.5 ,1 , 3)",Áreas verdes ,Salas de estudio (piso 1 y piso11),Biblioteca,Zonas recreativas,Laboratorios,Cubículos,Áreas verdes,Salas de estudio,Cubículos,Zonas recreativas ,Espacios recreativos,Sala de estudio,Cubículos,Biblioteca
M,21,Ingeniería de la Energía,6,6,Biblioteca,"Áreas verdes, Salas de estudio, Gimnasio, Zonas recreativas",,,0.5,2,2,3,2,4,3,4,5,10,2,1,4,0,4
M,20,Ciencia de Datos,5,5,"Aula, Cubículos","Áreas verdes, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,3,4,2,5,3,3,2,10,2,0,1,2,0
F,18,Ingeniería Ambiental,3,5,"Biblioteca, Cubículos, Sala de Estudios - Piso1","Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Comedor con comida rápida, laboratorios, Zonas recreativas",,,0.2,3,3,5,3,5,3,3,2,9,2,0,0,2,2
F,19,Ingeniería Industrial,4,5,"Cubículos, Sala de Estudios - Piso1, Bloques de madera -Piso 6","Salas de estudio, Cubículos, Auditorio, Gimnasio, Comedor con comida rápida, Biblioteca, Zonas recreativas, Comedor",,,1,5,4,5,5,5,5,3,8,8,5,2,2,2,2
M,19,Ciencias de la Computación,2,12,Aula,"Áreas verdes, Salas de estudio, Aulas",,,0.20,2,3,4,3,4,4,2,10,10,1,0,6,0,0
F,19,Bioingeniería,2,6,"Biblioteca, Sala de Estudios - Piso11","Áreas verdes, Salas de estudio, Aulas, Gimnasio, Campo deportivo, Comedor con comida rápida",,,1,2,5,5,2,5,3,2,5,4,5,1,1,1,1
F,18,Ciencia de Datos,2,6.30,"Biblioteca, Aula","Salas de estudio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, Comedor",,,1.0,2,2,2,3,4,3,4,4,8,3,0,0,0,3
M,18,Ingeniería Civil,3,7,"Biblioteca, Aula, Cubículos, Áreas verdes","Áreas verdes, Cubículos, Aulas, Auditorio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, laboratorios, Comedor",,,1,4,4,5,3,3,5,4,6,16,5,0,0,2,1
M,19,Ingeniería Mecatrónica,2,9,"Biblioteca, Aula, Cubículos, Bloques de madera -Piso 6, Auditorio de la universidad","Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, Biblioteca, Zonas recreativas, Comedor",,,1,3,3,4,3,3,5,2,1,15,2,1.5,1,4,2
F,17,Ingeniería Industrial,2,8,"Biblioteca, Cubículos","Áreas verdes, Campo deportivo, Comedor con comida rápida",,,2,5,5,5,5,5,5,1,23,12,35,3,2,4,2
M,19,Ingeniería Mecatrónica,3,8,"Aula, Cubículos, Sala de Estudios - Piso11, Bloques de madera -Piso 6",Gimnasio,,,0.5,3,3,3,3,3,3,4,7,10,3,0,1,2,5
M,23,Ingeniería Mecánica,5,4,Aula,"Salas de estudio, Comedor con comida rápida, laboratorios",,,0.5,3,2,2,2,3,3,2,4,20,5,0.5,0.5,1,1
F,20,Ingeniería Industrial,6,5,"Sala de Estudios - Piso1, Sala de Estudios - Piso11","Áreas verdes, Salas de estudio, Comedor con comida rápida, Biblioteca, Zonas recreativas",,,0.5,4,2,4,4,3,3,4,5,25,5,0.5,1,2,1
F,23,Ingeniería Electrónica,7,6,"Aula, Sala de Estudios - Piso11, Auditorio de la universidad","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, laboratorios",,,1,4,3,3,3,4,3,4,10,20,5,0,3,2,1
M,22,Ingeniería Civil,6,6,"Biblioteca, Aula, Cubículos","Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca",,,0.5,3,3,4,2,4,4,2,12,40,2,1,2,2,3
M,24,Ingeniería Ambiental,7,4,"Biblioteca, Aula","Cubículos, Aulas, Auditorio, Biblioteca",,,0.5,2,4,3,4,3,3,3,20,15,3,0.5,2,1,2
M,19,Administración de Negocios Digitales,2,7,Biblioteca,Cubículos,,,0.5,5,5,5,5,5,5,3,2,4,2,3,4,4,2
M,20,Sistemas de información,5,2.5,"Biblioteca, Aula, Cubículos, Zonas recreativas","Aulas, Auditorio, Gimnasio, Campo deportivo, laboratorios",,,1,3,3,4,2,4,4,2,25,20,5,1,2,1,1
M,20,Bioingeniería,4,6,"Biblioteca, Aula, Cubículos","Aulas, Auditorio, Campo deportivo",,,1,4,3,3,4,4,3,5,20,20,5,1,1,2,2
M,25,Ingeniería de la Energía,9,4,Biblioteca,Biblioteca,,,0.5,3,3,5,2,5,5,2,2,5,2,0,1,2,2
M,21,Ingeniería Civil,6,6,"Biblioteca, Aula, Cubículos, Bloques de madera -Piso 6","Salas de estudio, Auditorio, Biblioteca",,,1,4,3,4,4,4,4,2,20,30,5,1,2,1,3
M,26,Administración de Negocios Digitales,10,6,Sala de Estudios - Piso11,"Gimnasio, Campo deportivo",,,1,4,3,5,4,5,4,2,4,8,2,2,1,1,3
M,18,Ingeniería Industrial,4,5,"Sala de Estudios - Piso1, Sala de Estudios - Piso11, Bloques de madera -Piso 6","Aulas, Comedor con comida rápida, laboratorios, Zonas recreativas",,,1,4,4,4,4,4,4,5,30,30,5,1,2,2,5
M,23,Ingeniería Ambiental,9,8,Biblioteca,"Auditorio, Biblioteca",,,1,5,5,5,5,5,5,3,2,8,2,3,2,2,2
M,23,Ciencias de la Computación,7,4.5,"Biblioteca, Aula, Cubículos","Cubículos, Aulas, Auditorio, Gimnasio",,,0.5,4,4,4,4,4,4,5,20,30,5,0.5,1,1,1
M,19,Ingeniería Química,4,7,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, Zonas recreativas",,,0.5,2,2,5,2,5,5,3,4,5,2,0,5,10,1
M,19,Ingeniería Industrial,2,7,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso1, Auditorio de la universidad, Áreas verdes","Áreas verdes, Salas de estudio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, laboratorios, Zonas recreativas",,,1,2,2,2,2,2,3,2,4,10,2,2,2,1,3
M,18,Ingeniería Mecatrónica,3,5,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso1, Bloques de madera -Piso 6","Gimnasio, Campo deportivo, Comedor con comida rápida, Zonas recreativas",,,0.1,4,4,5,1,3,4,3,10,10,6,2,1,2,3
M,18,Ingeniería Mecatrónica,3,7,"Biblioteca, Aula, Auditorio de la universidad","Áreas verdes, Gimnasio, Comedor con comida rápida, Biblioteca, laboratorios, Zonas recreativas",,,0.5,4,4,5,4,5,4,2,3,20,3,1,0.5,0.5,2
M,19,Ingeniería Civil,2,6,"Cubículos, Bloques de madera -Piso 6","Gimnasio, Campo deportivo",,,0.5,5,4,4,5,5,5,2,2,2,2,1,0,2,4
M,21,Ingeniería Mecatrónica,5,7,"Aula, Cubículos, Sala de Estudios - Piso1","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,1,4,5,2,5,3,2,5,10,3,0.5,0,2,1
F,21,Ingeniería Civil,6,8,"Biblioteca, Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,4,5,1,5,4,3,3,10,3,0,1,2,3
M,19,Ciencias de la Computación,4,6,"Cubículos, Sala de Estudios - Piso11, Áreas verdes","Salas de estudio, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.3,2,4,5,2,5,4,4,5,8,2,0,3,2,0
M,19,Ingeniería Civil,4,7,"Aula, Cubículos, Sala de Estudios - Piso11","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Comedor con comida rápida, laboratorios, Zonas recreativas",,,0.2,2,4,5,2,5,5,5,3,9,3,3,5,10,1
F,19,Ingeniería Civil,4,8,"Biblioteca, Cubículos, Sala de Estudios - Piso11, Zonas recreativas, Áreas verdes","Áreas verdes, Salas de estudio, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.3,3,4,5,1,5,4,4,5,10,2,0,0,3,3
F,19,Ingeniería Civil,5,8,"Aula, Cubículos, Sala de Estudios - Piso11, Auditorio de la universidad, Áreas verdes","Áreas verdes, Salas de estudio, Aulas, Gimnasio, Campo deportivo, Comedor con comida rápida, laboratorios, Zonas recreativas",,,0.5,3,4,5,2,5,5,2,4,8,2,0,0,5,2
M,18,Ingeniería Mecatrónica,1,4,"Biblioteca, Bloques de madera -Piso 6","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Zonas recreativas",,,0.5,4,1,3,1,4,4,3,3,15,3,0,2,1,1.2
F,18,Ingeniería Mecatrónica,7,5,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso1","Áreas verdes, Salas de estudio, Aulas, Gimnasio, Campo deportivo, laboratorios, Comedor",,,1.2,4,3,3,4,4,3,5,5,20,3,1,2.2,4.5,1
M,26,Ingeniería Civil,5,4,"Aula, Bloques de madera -Piso 6, Zonas recreativas","Gimnasio, Comedor con comida rápida, laboratorios, Zonas recreativas, Comedor",,,3,4,3,3,4,3,4,5,3,10,4,4,4,3,5
F,19,Ingeniería Mecánica,3,8.30,"Cubículos, Sala de Estudios - Piso1, Auditorio de la universidad, Áreas verdes","Cubículos, Gimnasio, Campo deportivo, Comedor con comida rápida, laboratorios",,,0.5,3,3,4,2,4,3,3,4,10,5,0.3,1,4,3
M,22,Ingeniería Civil,7,12,"Cubículos, Bloques de madera -Piso 6, Áreas verdes","Salas de estudio, Cubículos, Auditorio, Gimnasio, Comedor con comida rápida, Comedor",,,0.3,4,3,4,3,4,3,4,5,10,2,0.3,0.3,5,1
F,23,Ingeniería Química,6,12,"Aula, Cubículos, Sala de Estudios - Piso1, Auditorio de la universidad, Áreas verdes","Cubículos, Aulas, Gimnasio, Biblioteca",,,0.3,3,4,3,4,3,4,2,4,10,2,0.2,1,4,2
M,21,Ciencias de la Computación,5,12,"Cubículos, Bloques de madera -Piso 6, Auditorio de la universidad, Zonas recreativas","Salas de estudio, Cubículos, Auditorio, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,1,4,2,4,3,4,3,2,5,15,1,0.3,1,4,2
F,20,Ingeniería Civil,6,8,"Aula, Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, Zonas recreativas, Comedor",,,0.5,2,4,5,2,5,4,4,5,10,3,1,2,2,3
F,19,Ciencias de la Computación,3,6,"Biblioteca, Sala de Estudios - Piso1, Sala de Estudios - Piso11","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Comedor con comida rápida, Zonas recreativas",,,1,3,3,4,3,4,3,2,3,3,4,3,4,2,3
F,19,Ingeniería Ambiental,5,8.09,"Aula, Cubículos","Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,1,1,2,2,3,1,1,2,10,3,0,0,1,00
F,22,Ingeniería Civil,6,10,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11, Bloques de madera -Piso 6","Áreas verdes, Cubículos, Aulas, Gimnasio, Campo deportivo, laboratorios",,,0.5,2,4,5,1,5,4,2,5,10,2,0.5,1,1,6
F,19,Ingeniería Electrónica,5,8,"Aula, Cubículos, Sala de Estudios - Piso11","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, laboratorios, Zonas recreativas",,,0.5,2,2,4,4,5,4,2,2,10,3,2,1,1,5
F,19,Ingeniería Civil,5,13,"Biblioteca, Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, Zonas recreativas, Comedor",,,0.2,2,3,5,3,5,5,3,5,10,3,1,1,2,6
F,20,Ingeniería Civil,5,7,"Biblioteca, Sala de Estudios - Piso11, Zonas recreativas, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, Biblioteca, laboratorios, Zonas recreativas",,,0.5,2,3,4,2,5,5,2,4,10,2,1,0,2,4
F,17,Ingeniería Civil,1,8,"Biblioteca, Cubículos, Sala de Estudios - Piso11, Bloques de madera -Piso 6, Auditorio de la universidad, Áreas verdes","Áreas verdes, Cubículos, Gimnasio, Biblioteca, laboratorios, Zonas recreativas",,,0.5,2,4,5,2,5,2,2,5,8,2,1,2,1,4
M,19,Ciencia de Datos,3,7,"Biblioteca, Aula, Sala de Estudios - Piso11, Auditorio de la universidad","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,4,5,3,5,5,2,5,9,2,2,3,6,1
M,21,Ingeniería Civil,6,8,"Biblioteca, Aula, Sala de Estudios - Piso11, Bloques de madera -Piso 6, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,4,5,2,5,4,2,6,9,2,0,0,2,5
F,20,Ingeniería Civil,4,8,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,4,4,2,5,5,2,5,9,2,2,2,1,5
M,22,Ciencia de Datos,7,9,"Biblioteca, Aula, Cubículos, Zonas recreativas, Áreas verdes","Áreas verdes, Salas de estudio, Gimnasio, Campo deportivo, Biblioteca, laboratorios, Zonas recreativas",,,0.5,4,4,2,2,5,5,5,8,10,2,1,1,2,6
F,19,Ingeniería Industrial,3,6.00,"Biblioteca, Zonas recreativas, Áreas verdes","Áreas verdes, Salas de estudio, Gimnasio, Campo deportivo, Comedor con comida rápida, Comedor",,,0.10,3,3,3,3,3,3,3,2,2,3,2.0,2.0,1.0,1.0
M,22,Ingeniería Química,6,8,"Biblioteca, Cubículos, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Gimnasio, Biblioteca, laboratorios, Zonas recreativas",,,1.5,4,2,3,3,2,2,5,6,30,5,0,1.5,3,1
M,19,Ingeniería Civil,5,8,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11, Bloques de madera -Piso 6, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,4,5,4,5,4,3,4,9,1,1,1,1,6
M,19,Ingeniería Civil,3,8,"Aula, Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,4,5,3,5,5,2,5,10,2,1,2,1,5
M,23,Ingeniería Mecánica,8,6,Biblioteca,Gimnasio,,,0.5,3,5,5,5,5,5,3,2,5,3,4,2,5,3
F,18,Bioingeniería,1,6,Cubículos,Cubículos,,,0.5,5,5,5,5,5,5,3,4,8,3,4,8,8,2
F,20,Ingeniería Civil,6,7,"Biblioteca, Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,3,4,5,3,5,5,2,3,9,2,0.5,2,1,5
M,19,Ingeniería Mecánica,1,9,Aula,Salas de estudio,,,0.2,5,5,4,4,4,4,5,4,2,1,4,2,5,6
M,19,Bioingeniería,1,3,Cubículos,Biblioteca,,,0.25,4,5,5,5,5,5,3,4,8,2,3,2,2,1
M,19,Ciencia de Datos,1,7,"Biblioteca, Sala de Estudios - Piso1",Gimnasio,,,0.5,5,5,5,5,5,5,3,2,10,4,2,3,4,2
F,19,Ingeniería Civil,3,8,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,4,5,2,5,5,3,4,10,2,1,1,1,5
M,22,Ciencias de la Computación,1,6,Sala de Estudios - Piso11,Cubículos,,,1,4,4,4,3,5,5,3,4,5,1,0,1,2,1
F,20,Ciencias de la Computación,4,10,"Biblioteca, Aula, Cubículos","Salas de estudio, Cubículos, Aulas",,,2.5,4,3,4,4,4,4,7,2,20,4,3,4,2,5
F,20,Ingeniería Mecatrónica,5,8,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,4,5,2,5,5,4,5,8,3,1,1,2,4
F,19,Ingeniería Mecánica,4,5,"Sala de Estudios - Piso1, Sala de Estudios - Piso11, Bloques de madera -Piso 6","Salas de estudio, Cubículos, Aulas, Biblioteca",,,1.5,4,3,4,3,4,4,4,2,20,4,4,4,2,4
F,19,Ingeniería Mecatrónica,1,6,Biblioteca,Gimnasio,,,0.5,5,5,5,5,5,5,2,1,10,2,0,1,1,3
F,19,Ingeniería Electrónica,4,8,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11, Zonas recreativas, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, Comedor con comida rápida, laboratorios, Zonas recreativas",,,0.3,5,4,5,4,5,5,4,3,9,2,1,2,2,6
F,19,Ingeniería Mecatrónica,1,7,Sala de Estudios - Piso1,"Gimnasio, Campo deportivo",,,0.2,5,5,5,5,5,5,1,2,10,2,3,1,1,2
M,19,Ingeniería Civil,4,9,"Biblioteca, Aula, Cubículos","Áreas verdes, Cubículos, Aulas, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,3,4,5,2,5,5,2,5,10,1,0,1,1,7
M,20,Ingeniería de la Energía,7,5,"Sala de Estudios - Piso1, Bloques de madera -Piso 6, Auditorio de la universidad, Zonas recreativas","Salas de estudio, Cubículos, Biblioteca",,,1,4,4,2,4,4,3,5,1,28,4,3,4,1,4
M,19,Ingeniería Civil,1,6,Sala de Estudios - Piso1,"Gimnasio, Campo deportivo",,,0.5,1,5,5,2,5,5,2,2,8,2,3,3,1,0
M,20,Ingeniería de la Energía,5,10,"Biblioteca, Sala de Estudios - Piso11, Zonas recreativas, Áreas verdes","Áreas verdes, Cubículos, Aulas, Gimnasio, Campo deportivo, laboratorios",,,0.5,4,4,5,3,5,5,3,4,8,1,0,1,2,7
F,19,Administración de Negocios Digitales,3,8,"Biblioteca, Cubículos, Sala de Estudios - Piso11, Zonas recreativas, Áreas verdes","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, laboratorios, Comedor",,,0.3,5,4,5,4,5,4,4,5,10,2,1,1,1,5
M,22,Bioingeniería,5,6,"Aula, Cubículos, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Aulas, laboratorios",,,1,3,3,2,2,3,3,5,1,25,5,4,4,1,4
M,19,Ciencia de Datos,4,9,"Biblioteca, Aula, Cubículos, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas, Comedor",,,0.5,3,3,5,2,5,5,3,5,8,2,0,1,2,6
F,20,Ciencias de la Computación,5,4,"Biblioteca, Aula, Sala de Estudios - Piso1, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Auditorio, Gimnasio, Comedor con comida rápida, Zonas recreativas, Comedor",,,0.3,2,3,4,2,4,5,3,2,9,2,0,0,2,2
M,23,Administración de Negocios Digitales,5,5,Biblioteca,"Gimnasio, Comedor con comida rápida",,,0.5,3,5,5,5,5,5,2,2,10,1,1,3,1,0
M,19,Ingeniería Química,4,7,"Biblioteca, Aula, Cubículos, Bloques de madera -Piso 6","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas, Comedor",,,0.5,3,4,5,2,5,5,3,5,9,3,0.5,1,2,2
M,23,Ingeniería Mecatrónica,5,10,"Aula, Sala de Estudios - Piso1, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Aulas, laboratorios",,,1,4,4,3,4,3,4,6,1,20,4,4,4,1,4
M,18,Administración de Negocios Digitales,1,8,Sala de Estudios - Piso11,"Salas de estudio, Gimnasio",,,0.5,3,5,5,3,5,5,2,2,10,3,2,2,1,2
M,21,Ingeniería Electrónica,6,10,"Biblioteca, Aula","Áreas verdes, Salas de estudio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,0.5,3,4,5,2,5,5,2,3,9,1,0,1,2,8
F,20,Ingeniería Civil,5,5,"Aula, Cubículos, Sala de Estudios - Piso11, Auditorio de la universidad, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Campo deportivo, Comedor con comida rápida, laboratorios, Zonas recreativas, Comedor",,,0.5,4,5,5,3,5,5,2,4,9,1,0,1,2,2
F,19,Bioingeniería,4,6,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11","Áreas verdes, Cubículos, Aulas, Gimnasio, laboratorios, Zonas recreativas",,,0.5,3,4,5,3,5,5,2,3,9,1,0,0,1,5
M,25,Ciencias de la Computación,8,10,"Sala de Estudios - Piso1, Áreas verdes","Aulas, Campo deportivo, laboratorios, Comedor",,,1,2,4,4,4,3,3,2,4,20,5,1,5,5,4
M,19,Ingeniería Ambiental,4,8,"Biblioteca, Cubículos, Auditorio de la universidad, Zonas recreativas, Áreas verdes","Áreas verdes, Cubículos, Aulas, Gimnasio, Campo deportivo, Biblioteca, laboratorios, Zonas recreativas",,,0.5,4,5,4,5,5,3,2,3,5,1,0,0,2,5
M,19,Ingeniería Mecatrónica,3,6,"Aula, Cubículos, Sala de Estudios - Piso1, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Aulas, Auditorio",,,1.5,4,3,4,4,3,3,5,1,20,5,4,2.5,1.5,3.5
F,19,Ingeniería Civil,4,8,"Biblioteca, Aula, Cubículos, Zonas recreativas, Áreas verdes","Áreas verdes, Auditorio, Gimnasio, Comedor con comida rápida, laboratorios, Zonas recreativas, Comedor",,,0.5,2,4,5,2,5,5,4,5,10,1,0,1,2,5
M,21,Ingeniería Civil,6,4,"Aula, Sala de Estudios - Piso11, Auditorio de la universidad, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,4,4,5,3,5,5,5,3,8,2,0,1,2,0
F,19,Ingeniería Química,3,4,"Aula, Sala de Estudios - Piso11, Auditorio de la universidad, Áreas verdes","Áreas verdes, Cubículos, Gimnasio, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,0.5,4,4,5,3,5,5,6,4,8,3,0,0,2,1
M,20,Ingeniería Electrónica,5,9,"Biblioteca, Aula, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas, Comedor",,,0.5,4,5,5,3,5,5,5,2,6,1,0,1,2,5
M,19,Ingeniería Civil,3,7,"Aula, Cubículos, Auditorio de la universidad, Áreas verdes","Áreas verdes, Gimnasio, Campo deportivo, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,0.5,4,4,5,2,5,5,5,5,8,2,0,0,2,7
M,20,Ingeniería Ambiental,4,5,"Aula, Cubículos, Sala de Estudios - Piso1, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Aulas",,,1,4,3,3,3,4,3,7,1,20,4,1.5,2.5,2,3
M,20,Administración de Negocios Digitales,4,12,"Cubículos, Sala de Estudios - Piso11, Bloques de madera -Piso 6, Auditorio de la universidad, Zonas recreativas","Auditorio, Gimnasio, Campo deportivo, Comedor",,,1,4,4,3,5,5,4,2,4,15,3,1,1,5,2
F,19,Bioingeniería,4,8,"Biblioteca, Aula, Cubículos, Áreas verdes","Áreas verdes, Cubículos, Aulas, Gimnasio, Campo deportivo, Comedor con comida rápida, Zonas recreativas, Comedor",,,0.5,3,4,5,1,5,2,6,2,4,1,0,0,1,7
M,20,Ingeniería Mecánica,5,4,"Aula, Cubículos, Sala de Estudios - Piso1, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Aulas",,,0.5,3,3,3,3,3,3,3,1,22,3,0.5,2.5,2,2.5
M,20,Ingeniería Química,3,5,Biblioteca,Comedor con comida rápida,,,0.2,4,4,5,3,5,5,4,2,8,2,0,1,2,3
M,23,Ingeniería Química,7,9,"Biblioteca, Aula, Cubículos","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,0.5,2,4,5,2,5,5,4,6,10,2,0,0,2,7
M,19,Administración de Negocios Digitales,1,8,Biblioteca,"Auditorio, Gimnasio",,,0.5,3,3,5,5,5,5,3,3,8,1,0,1,2,3
F,24,Ingeniería Química,8,5,"Aula, Cubículos, Sala de Estudios - Piso1, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Aulas, laboratorios",,,1,3,4,3,4,4,4,4,1,20,4,3,2,2,3
M,19,Ingeniería Electrónica,5,7,"Aula, Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas, Comedor",,,0.5,3,4,5,3,5,5,2,3,8,2,0,2,2,2
M,20,Ingeniería Civil,4,6,"Biblioteca, Aula, Cubículos","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Zonas recreativas, Comedor",,,0.5,3,4,5,3,5,5,4,2,6,1,0,1,2,3
M,20,Ingeniería Mecánica,4,6,Sala de Estudios - Piso1,"Auditorio, Gimnasio",,,0.5,4,5,5,1,5,5,2,3,10,1,1,0,2,2
F,20,Ingeniería Civil,5,8,"Biblioteca, Aula, Cubículos","Áreas verdes, Cubículos, Aulas, Gimnasio, Campo deportivo, Biblioteca, Zonas recreativas, Comedor",,,0.5,4,5,5,3,5,5,5,5,8,2,0,1,2,5
M,19,Ingeniería Química,3,8,"Biblioteca, Aula, Cubículos, Sala de Estudios - Piso11","Áreas verdes, Salas de estudio, Gimnasio, Campo deportivo, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,0.5,3,4,5,3,5,5,4,5,10,1,0.5,1,2,6
F,19,Ingeniería Electrónica,4,7,"Biblioteca, Aula, Cubículos","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Biblioteca, Zonas recreativas, Comedor",,,0.5,2,4,5,3,5,5,4,2,8,1,0,0,2,5
F,20,Ingeniería Electrónica,5,4,"Aula, Cubículos, Sala de Estudios - Piso1, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Aulas",,,1,3,4,4,3,3,4,4,2,20,4,1,3,2,3
M,28,Ingeniería Ambiental,7,6,Sala de Estudios - Piso1,Salas de estudio,,,0.5,3,5,5,1,5,5,1,2,9,0,0,4,1,1
M,21,Ingeniería Electrónica,5,6,"Biblioteca, Aula, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, Comedor con comida rápida, laboratorios, Zonas recreativas",,,0.5,4,4,5,2,5,5,5,3,6,2,0,0,2,4
M,25,Bioingeniería,10,4,Biblioteca,"Salas de estudio, Biblioteca",,,0.2,5,5,5,5,5,5,2,1,10,1,0,0,0,3
