Ciclo,Edad,Sexo,Sociable_Antes,Sociable_despues,Manera_socializar,Mejor_desenvolvimiento,Personalidad_antes,Amigos_totales,Cantidad_redes_sociales,Amigos_whassap,Amigos_telegram,Dialogo_amigos_presencial,Redes_sociales_1a5,Dialogo_amigos_virtual,Tiempo_telegram,Tiempo_whatsapp,Tiempo_instagram,Tiempo_facebook,Seguidores_instagram,Contactos_amigos,amigo_facebook,cantidad_grupo_sercano
5,18,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,60,18,6,0,6,Necesario,6,0,6,4,0,137,50,50,15
2,19,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,10,19,5,0,6,Poco necesario,18.5,0,4,1,1,60,50,39,2
2,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,4,18,2,0,6,Muy necesario,5,0,2,5,0,200,50,2,2
5,18,Varon,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Introvertida,40,18,5,0,5,Necesario,2.333,0,4,1,0,30,40,50,5
5,18,Mujer,3.Muy_sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,580,18,7,0,10,Poco necesario,8,0,5,3,1,586,645,20,12
2,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,50,18,15,0,40,Poco necesario,8,0,4.5,2,0.5,100,109,39,12
5,18,Mujer,3.Muy_sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,20,18,3,0,14,Muy necesario,15,0,10,0.667,0,378,90,39,5
2,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,8,18,3,0,2,Necesario,0.5,0,5,0,0.5,100,67,10,3
3,18,Mujer,3.Muy_sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,50,18,4,0,25,Poco necesario,2,0.017,6,1,0.083,54,40,70,10
3,18,Mujer,3.Muy_sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,50,18,7,0,15,Poco necesario,1,1,6,4,1,78,370,42,10
3,18,Varon,2.Sociable,1.Poco_Sociable,Virtual,Salón de clases,Extrovertida,20,18,5,0,36,Necesario,5,0,6,3,3,40,100,10,10
5,19,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,20,19,5,0,4,Muy necesario,14,0,1,0.5,0.667,80,100,20,5
5,18,Varon,1.Poco_Sociable,3.Muy_sociable,Presencial,Salón de clases,Introvertida,15,18,4,0,5,Poco necesario,2,0,2,3,1,60,50,10,5
2,17,Varon,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,34,17,4,0,9,Muy necesario,10.5,0,3.417,0,1.25,1,137,14,6
5,18,Varon,3.Muy_sociable,2.Sociable,Presencial,Salón de clases,Introvertida,24,18,3,0,5,Necesario,5,0,5,2,0,120,130,19,10
2,18,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Introvertida,60,18,20,0,4,Poco necesario,2,0,2,0.5,0.5,130,146,15,10
5,18,Mujer,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Extrovertida,70,18,25,8,8,Necesario,4,1,12,8,3,1850,500,14,2
3,18,Mujer,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,50,18,20,0,4,Necesario,2.5,0,3.417,0.5,0,70,200,50,10
3,17,Mujer,2.Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,15,17,2,0,2,Poco necesario,0,0,8,9,0,86,20,13,3
3,17,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,30,17,3,0,4,Necesario,2,0.05,1,0.5,0,324,100,70,10
2,18,Mujer,3.Muy_sociable,3.Muy_sociable,Presencial,Reunión de zoom,Extrovertida,1728,18,18,123,25,Poco necesario,4.35,20,20,2,0,1,267,1,10
5,18,Mujer,2.Sociable,2.Sociable,Virtual,Salón de clases,Introvertida,60,18,18,0,20,Necesario,14,0,2,3,0,654,90,25,8
