Ciclo,Edad,Sexo,Sociable_Antes,Sociable_despues,Manera_socializar,Mejor_desenvolvimiento,Personalidad_antes,Amigos_totales,Cantidad_redes_sociales,Amigos_whassap,Amigos_telegram,Dialogo_amigos_presencial,Redes_sociales_1a5,Dialogo_amigos_virtual,Tiempo_telegram,Tiempo_whatsapp,Tiempo_instagram,Tiempo_facebook,Seguidores_instagram,Contactos_amigos,amigo_facebook,cantidad_grupo_sercano
4,18,Mujer,2.Sociable,2.Sociable,Virtual,Salón de clases,Introvertida,4,18,3,0,40,Necesario,0.833,0.5,2,0.167,0.167,58,50,1,4
2,18,Mujer,3.Muy_sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,5,18,5,0,9,Totalmente necesario,1,0,2.033,0,0,1,1000,5,5
8,19,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,40,19,5,0,14,Necesario,1.5,0,0.5,0,0,134,477,10,3
2,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,20,18,7,0,18,Necesario,1,0,12,3,0.5,1121,25,3,4
2,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,8,18,8,0,2,Muy necesario,0.5,0.167,8,0,0.5,275,12,20,4
1,17,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,28,17,3,0,2,Necesario,0.5,1,1.5,4,0,124,84,1,2
2,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,598,18,20,0,6,Nada necesario,2,0,16,0,1,100,200,80,4
2,19,Mujer,1.Poco_Sociable,1.Poco_Sociable,Virtual,Reunión de zoom,Introvertida,2,19,7,0,6,Necesario,3,0.5,5,1,0.5,100,20,40,5
2,18,Mujer,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,65,18,7,0,66,Muy necesario,5,1,3,0.167,0,203,167,10,5
2,18,Mujer,1.Poco_Sociable,1.Poco_Sociable,Virtual,Reunión de zoom,Introvertida,5,18,3,0,20,Muy necesario,0.5,0,12,0,2,140,110,38,3
1,18,Mujer,3.Muy_sociable,1.Poco_Sociable,Virtual,Salón de clases,Introvertida,1,18,4,1,4,Totalmente necesario,3.5,3,12,1,1,640,120,50,5
