GENERO,CARRERA,DISPOSITIVO,APLICACIONES,MARCA,ÁREA,MAXNOTA,ORDENM,CICLO,SATISFACCIÓN,FRECUENCIA,CANAPLI,CANTDISPOSITIVOS,MINUTOS,CURSOS,COSTO,PROMEDIO,DÍAS
MASCULINO,Administración & Negocios Digitales,Smartphone,One Note,"HP, Asus, Xiaomi","Proyectos Interdisciplinarios ,Tesis y Real life Experience",18,Decimo superior,Quinto,Mucho,Mucho,4,3,200,7,2000,17.8,5
MASCULINO,Ingeniería Electrónica,Smartphone,Otro,"Apple, Xiaomi",Ciencias Generales,1,Ninguno de los anteriores,Tercero,Nada,Nada,1,6,120,4,1200,15,4
FEMENINO,Ingeniería Mecatrónica,Smartphone,Otro,Samsung,"Humanidades, Arte y Ciencias sociales(HACS)",19,Ninguno de los anteriores,Cuarto,Mucho,Regular,6,1,240,6,1500,12.34,7
MASCULINO,Ingeniería Mecatrónica,Laptop,Visual Studio,"HP, otros",Ciencias Generales,20,Ninguno de los anteriores,Segundo,Mucho,Poco,0,4,120,1,2900,15,2
MASCULINO,Ingeniería Mecatrónica,Smartphone,MatLab,Lenovo,Cursos de carrera,15,Ninguno de los anteriores,Septimo,Mucho,Mucho,5,3,240,5,3000,12.42,7
MASCULINO,Ingeniería Mecatrónica,Smartphone,Canva,"Lenovo, Acer, Samsung, Apple, Razer","Proyectos Interdisciplinarios ,Tesis y Real life Experience",20,Tercio superior,Primero,Regular,Regular,2,3,420,6,3200,15,7
FEMENINO,Ingeniería Electrónica,Laptop,One Note,"Asus, Samsung",Cursos de carrera,18,Medio superior,Cuarto,Mucho,Mucho,4,4,240,6,4000,13.39,6
MASCULINO,Ingeniería Mecatrónica,Laptop,MatLab,"HP, Samsung",Ciencias Generales,14,Decimo superior,Cuarto,Regular,Regular,5,2,120,6,5000,14,5
MASCULINO,Bioingeniería,Smartphone,Google Classroom,"HP, Samsung, Apple",Cursos de carrera,20,Decimo superior,Sexto,Mucho,Mucho,2,3,300,7,3000,18.2,7
MASCULINO,Bioingeniería,Smartphone,Khan Academy,Samsung,Ciencias Generales,18,Tercio superior,Cuarto,Poco,Poco,2,2,180,6,1200,16,7
FEMENINO,Ciencia de la Computación,Laptop,Visual Studio,otros,Cursos de carrera,20,Quinto superior,Segundo,Regular,Mucho,5,3,360,6,6000,16.4,7
FEMENINO,Ciencia de la Computación,Laptop,CLion,"Asus, Motorola",Cursos de carrera,20,Tercio superior,Segundo,Regular,Mucho,6,3,420,6,1300,15.85,7
MASCULINO,Ciencia de la Computación,Laptop,CLion,Lenovo,"Humanidades, Arte y Ciencias sociales(HACS)",17,Tercio superior,Segundo,Regular,Poco,2,2,240,6,5000,15.5,7
MASCULINO,Ciencia de la Computación,Smartphone,Visual Studio,Asus,Cursos de carrera,19,Decimo superior,Segundo,Regular,Poco,4,4,120,2,2000,17,3
MASCULINO,Ciencia de la Computación,Laptop,CLion,"Asus, Samsung",Cursos de carrera,15.5,Decimo superior,Segundo,Regular,Regular,5,2,500,6,2000,17,7
FEMENINO,Ingeniería Mecatrónica,Laptop,Word,"Asus, Apple",Ciencias Generales,19,Tercio superior,Quinto,Mucho,Mucho,4,3,840,6,7000,15.64,7
FEMENINO,Ingeniería Civil,Laptop,One Note,"Lenovo, Samsung",Cursos de carrera,18,Tercio superior,Segundo,Regular,Regular,3,3,500,6,2000,15,6
MASCULINO,Ingeniería Civil,Laptop,Excel,Lenovo,Cursos de carrera,20,Decimo superior,Noveno,Regular,Regular,8,3,480,7,4500,17.6,7
FEMENINO,Ingeniería Civil,Laptop,Otro,"Asus, Samsung",Cursos de carrera,18,Quinto superior,Sexto,Mucho,Mucho,5,3,480,8,3000,15.42,7
MASCULINO,Ingeniería Civil,Laptop,Rstudio,HP,Ciencias Generales,17,Decimo superior,Cuarto,Mucho,Mucho,4,2,500,6,3000,16.46,6
MASCULINO,Ciencia de Datos,Smartphone,CLion,Samsung,Cursos de carrera,18,Ninguno de los anteriores,Tercero,Regular,Regular,3,3,300,6,4500,14.3,7
FEMENINO,Ingeniería Civil,Tablet,Canva,"Lenovo, Asus","Proyectos Interdisciplinarios ,Tesis y Real life Experience",16,Medio superior,Cuarto,Regular,Regular,3,3,120,7,1300,13.98,6
MASCULINO,Ingeniería Civil,Smartphone,Excel,HP,Cursos de carrera,17,Quinto superior,Cuarto,Regular,Regular,4,4,300,4,4000,16.2,5
MASCULINO,Ingeniería Civil,Smartphone,Khan Academy,"HP, Samsung",Ciencias Generales,16,Ninguno de los anteriores,Cuarto,Regular,Regular,4,3,120,6,1200,15.25,7
MASCULINO,Ingeniería Mecatrónica,Laptop,Word,"Acer, Motorola",Ciencias Generales,15,Medio superior,Cuarto,Regular,Regular,3,3,420,4,3098,13,7
FEMENINO,Ingeniería Industrial,Laptop,One Note,"Asus, Samsung, Huawei","Humanidades, Arte y Ciencias sociales(HACS)",18,Decimo superior,Cuarto,Mucho,Mucho,8,3,120,5,600,13.6,7
FEMENINO,Ingeniería Industrial,Laptop,Word,"Lenovo, Xiaomi","Humanidades, Arte y Ciencias sociales(HACS)",19,Medio superior,Cuarto,Mucho,Mucho,3,5,120,6,6000,13.47,6
MASCULINO,Ingeniería Industrial,Laptop,Rstudio,"Acer, Xiaomi",Cursos de carrera,19,Decimo superior,Cuarto,Mucho,Mucho,8,6,120,6,4500,17.5,7
MASCULINO,Bioingeniería,Laptop,One Note,Dell,Ciencias Generales,18,Ninguno de los anteriores,Cuarto,Regular,Mucho,4,2,300,6,2800,11.45,7
FEMENINO,Ingeniería Química,Laptop,Word,Apple,Ciencias Generales,16,Tercio superior,Tercero,Regular,Regular,5,3,190,6,4000,15.2,5
FEMENINO,Ingeniería Civil,Laptop,One Note,"HP, Samsung",Cursos de carrera,15,Medio superior,Cuarto,Regular,Mucho,2,2,254,6,4000,14.8,4
FEMENINO,Ciencia de la Computación,Smartphone,Otro,"HP, Huawei",Cursos de carrera,19,Tercio superior,Primero,Regular,Mucho,4,2,180,6,2000,18,7
FEMENINO,Ciencia de la Computación,Smartphone,Otro,"Lenovo, HP, Acer, Dell, Samsung","Humanidades, Arte y Ciencias sociales(HACS)",18,Ninguno de los anteriores,Tercero,Poco,Regular,6,2,180,5,3000,18,3
FEMENINO,Bioingeniería,Smartphone,Rstudio,Apple,Ciencias Generales,19,Quinto superior,Decimo,Mucho,Regular,5,3,120,5,1140,17.1,6
MASCULINO,Ingeniería Industrial,Laptop,Power point,Dell,"Humanidades, Arte y Ciencias sociales(HACS)",15,Ninguno de los anteriores,Cuarto,Regular,Regular,0,2,240,5,3850,13.52,7
MASCULINO,Ingeniería Industrial,Smartphone,Excel,"HP, Samsung, Apple",Cursos de gestión,19,Medio superior,Cuarto,Mucho,Regular,4,3,300,5,3200,15.34,5
MASCULINO,Ingeniería Civil,Smartphone,Canva,"Lenovo, HP, Samsung, Apple",Ciencias Generales,19.99,Decimo superior,Septimo,Mucho,Regular,4,3,480,7,3000,18,7
MASCULINO,Ingeniería Civil,Smartphone,One Note,"HP, otros",Ciencias Generales,19,Quinto superior,Cuarto,Mucho,Regular,3,2,360,7,700,14.5,7
FEMENINO,Ciencia de la Computación,Smartphone,Canva,"HP, Xiaomi","Humanidades, Arte y Ciencias sociales(HACS)",16,Medio superior,Segundo,Regular,Regular,4,3,180,6,2500,13,5
MASCULINO,Ingeniería Industrial,Smartphone,Excel,"Asus, Samsung",Ciencias Generales,20,Ninguno de los anteriores,Cuarto,Poco,Mucho,5,2,120,7,4000,16,7
FEMENINO,Ingeniería Industrial,Laptop,Excel,otros,Cursos de carrera,20,Tercio superior,Primero,Mucho,Regular,5,3,120,6,7000,15,5
FEMENINO,Ingeniería Industrial,Tablet,Canva,"HP, Samsung","Humanidades, Arte y Ciencias sociales(HACS)",17,Medio superior,Cuarto,Regular,Regular,4,3,240,6,2500,15.5,6
MASCULINO,Ciencia de Datos,Tablet,Visual Studio,Dell,Ciencias Generales,18.5,Quinto superior,Tercero,Mucho,Mucho,5,5,300,6,4399,15,7
