tipo_musica,horas_estudio,horas_musica,importancia,genero_relajacion,genero_motivacion,concentracion,animo,estres,momentos,beneficios
Rock and Roll,4,23,5,Varias musicas,Rock and Roll,4,Sí,Sí,Todo el dia,Es muy beneficioso
Clásica,8,4,2,Música Clásica,Clásica,4,No,Sí,"Por la noche, camino a la universidad ",Es beneficioso
Clásica,24,3,5,Hip Hop,Rock and Roll,2,Sí,Sí,Todo el día,Es muy beneficioso
Pop,3,2,3,Jazz,Electrónica,3,Sí,Sí,Por la noche,Es beneficioso
Hip Hop,25,10,5,Jazz,Hip Hop,3,Sí,Sí,Cuando tengo tiempo libre,Es muy beneficioso
Pop,8,3,5,Pop,Pop,5,Sí,Sí,"Camino a la universidad, por las noches y cuando hago tarea ",Es beneficioso
Electrónica,2,6,1,Música electrónica,Blues,5,Sí,Sí,Mañana,Es muy beneficioso
Pop,20,2,5,Música Clásica,Pop,5,Sí,Sí,Por la noche,Es muy beneficioso
Rock and Roll,28,5,4,Pop,Reggae,4,Sí,Sí,Tardes,Es beneficioso
Reggae,23,8,5,Pop,Clásica,4,Sí,Sí,Por las tardes ,Es muy beneficioso
Clásica,8,5,4,Música Clásica,Clásica,4,Sí,Sí,por la noche ,Es moderadamente beneficioso
Electrónica,9,2,4,Pop,Pop,4,Sí,Sí,Por la noche,Es muy beneficioso
Salsa,10,2,3,balada,Pop,2,Sí,Sí,camino a la universidad,Es moderadamente beneficioso
Rock and Roll,8,8,5,Música electrónica,Rock and Roll,2,Sí,Sí,Todo el día,Es beneficioso
Clásica,20,3,5,Música Clásica,Clásica,4,Sí,Sí,Tardes,Es muy beneficioso
Electrónica,5,2,3,Música Clásica,Electrónica,2,Sí,Sí,Por las tardes,Es beneficioso
Rock and Roll,6,2,3,Rock and Roll,Electrónica,1,Sí,Sí,por la mañana,Es moderadamente beneficioso
Pop,2,1,3,Pop,Pop,2,Sí,Sí,camino ala universidad ,Es beneficioso
Electrónica,6,5,4,Música electrónica,Electrónica,4,Sí,Sí,Camino a la universidad,Es beneficioso
Clásica,42,2,2,Reggae,Hip Hop,2,Sí,No,por la mañana,Es poco beneficioso
Pop,8,4,4,Hip Hop,Hip Hop,1,Sí,Sí,Tardes ,Es beneficioso
Indie,12,4,3,Indie,Pop,4,Sí,Sí,Al momento de estudiar,Es beneficioso
Hip Hop,14,2,2,Hip Hop,Electrónica,1,No,Sí,por la mañana,Es moderadamente beneficioso
Pop,10,2,2,Pop,Electrónica,1,No,No,camino a la universidad y al regreso a casa,Es beneficioso
Jazz,4,4,4,Música Clásica,Rock and Roll,4,Sí,Sí,Camino a la univerdidad y de noche,Es beneficioso
Reggae,10,1,1,Rock and Roll,Clásica,1,No,Sí,por la noche,Es moderadamente beneficioso
Rock and Roll,7,3,3,Rock and Roll,Rock and Roll,2,Sí,Sí,por las tardes,Es beneficioso
Pop,6,14,4,Música Clásica,Pop,5,Sí,Sí,Todo el día,Es muy beneficioso
K-POP,5,14,5,Música Clásica,K-POP,5,Sí,Sí,Por las tardes,Es muy beneficioso
Rock and Roll,3,2,4,Hip Hop,Hip Hop,3,Sí,Sí,Por las noches,Es moderadamente beneficioso
Pop,1,3,4,Rock and Roll,Pop,4,Sí,Sí,"En el bus, al jugar videojuegos",Es beneficioso
K-POP,6,10,5,K-POP,Electrónica,4,Sí,Sí,Camino a la universidad,Es muy beneficioso
