Código del Alumno,Edad,Sexo ,Ciclo,Carrera,Precio del Celular aproximado ,Modelo del Celular ,Almacenamiento del Celular (GB),Sistema Operativo ,Cámaras totales,Calidad de la cámara principal,Tiempo de carga del Celular,Duración de la batería,Satisfacción de tu celular 
202120380,19,Femenino,2,Ingeniería Química,630,Huawei,32,Android,2,12,80,120,3
202120103,18,Femenino,2,Ingeniería Industrial,800,Huawei,32,Android,3,32,90,480,4
201810514,20,Masculino,7,Ciencias de la Computación,400,Xiaomi,128,Android,5,64,100,360,5
202120570,20,Masculino,2,Ingeniería Industrial,860,Xiaomi,128,Android,2,48,120,180,4
202020165,20,Masculino,4,Ingeniería Mecatrónica,700,Xiaomi,128,Android,4,48,120,720,5
202110640,19,Masculino,3,Ingeniería Civil,799,Samsung,8,Android,5,32,120,480,5
202120454,23,Masculino,2,Ingeniería Mecánica,400,Huawei,4,Android,2,8,120,420,5
202010632,19,Femenino,3,Ingeniería Química,580,Samsung,32,Android,3,16,120,720,5
201810270,21,Femenino,9,Ingeniería Civil,900,Xiaomi,128,Android,4,48,90,300,5
202110279,18,Femenino,3,Ingeniería Industrial,2000,Apple,32,IOS ( Apple ),2,12,210,420,4
202210105,17,Femenino,1,Ingeniería Mecatrónica,1200,Huawei,64,Android,4,64,90,180,5
201810008,21,Masculino,9,Bioingeniera,1800,Samsung,128,Android,5,108,70,600,5
202210392,25,Masculino,1,Ingeniería Mecánica,1500,Xiaomi,128,Android,5,48,90,600,5
202010031,18,Masculino,3,Ciencias de la Computación,858,Samsung,16,Android,2,12,105,120,3
202120505,20,Femenino,2,Ingeniería Industrial,800,Xiaomi,128,Android,4,48,60,275,5
202210156,17,Femenino,1,Bioingeniera,1600,Xiaomi,64,Android,5,32,60,480,4
202120309,19,Masculino,2,Ingeniería Industrial,870,Motorola ,128,Android,5,48,45,120,5
202210436,16,Masculino,1,Bioingeniera,650,Xiaomi,64,Android,5,64,90,120,4
202120163,21,Masculino,2,Ingeniería Industrial,860,Xiaomi,128,Android,4,64,120,240,5
202210367,17,Femenino,1,Ingeniería Industrial,780,Motorola,64,Android,4,48,105,240,5
202210219,17,Femenino,1,Ingeniería Ambiental,4000,Apple,64,IOS ( Apple ),3,12,150,720,4
202120273,18,Femenino,2,Ingeniería Industrial,770,Samsung,64,Android,4,32,180,420,5
202210045,17,Masculino,1,Ingeniería Mecatrónica,2000,Xiaomi,128,Android,4,108,30,180,5
202210382,17,Masculino,1,Ingeniería Mecatrónica,900,Xiaomi,64,Android,4,48,90,180,4
202210067,16,Masculino,1,Ingeniería Mecatrónica,1500,Samsung,128,Android,4,64,480,480,3
202120522,17,Masculino,2,Ciencias de la Computación,340,Samsung,32,Android,2,16,150,240,4
202120583,22,Masculino,2,Ingeniería de la Energía,900,Xiaomi,128,Android,4,32,60,300,5
201810725,23,Femenino,5,Ingeniería Mecatrónica,1200,Xiaomi,32,Android,4,32,120,2880,4
202210259,16,Masculino,1,Ingeniería Mecatrónica,850,Samsung,64,Android,5,32,80,240,4
202210031,17,Masculino,1,Ingeniería Ambiental,600,Samsung,32,Android,2,48,60,480,4
202120568,19,Femenino,2,Ingeniería Industrial,300,LG,16,Android,2,12,120,300,3
202120151,20,Femenino,2,Ingeniería Industrial,800,Samsung,32,Android,2,26,90,120,5
202120210,21,Femenino,2,Ingeniería Civil,400,Sony,16,Android,2,16,40,300,5
202210507,20,Masculino,1,Ciencias de la Computación,1200,Samsung,32,Android,2,32,60,150,3
202210526,17,Femenino,1,Bioingeniera,1200,Samsung,32,Android,2,32,120,360,4
202210444,17,Masculino,1,Ciencias de la Computación,380,Samsung,32,Android,2,16,120,240,3
202120432,18,Masculino,2,Ingeniería Mecatrónica,540,Samsung,16,Android,2,16,150,150,3
202010103,18,Masculino,1,Ingeniería Industrial,700,Samsung,32,Android,4,16,135,480,5
202210168,16,Masculino,1,Ingeniería Industrial,800,Huawei,64,Android,2,16,80,150,4
202210055,18,Masculino,1,Ingeniería Industrial,800,Xiaomi,64,Android,4,48,60,360,5
202210522,17,Masculino,1,Ingeniería Mecatrónica,550,Samsung,128,Android,3,48,100,240,3
202120120,17,Femenino,2,Ingeniería Industrial,560,Samsung,16,Android,2,32,180,180,4
202210411,17,Masculino,1,Ciencias de la Computación,1150,Huawei,64,Android,2,32,150,1440,5
202210469,19,Masculino,1,Ingeniería Mecánica,1000,Huawei,128,Android,2,64,120,480,5
202210536,16,Masculino,1,Ingeniería Mecatrónica,500,Apple,128,IOS ( Apple ),2,12,120,180,3
202210509,17,Femenino,1,Ingeniería Civil,1200,Samsung,128,Android,4,48,90,360,4
202210597,17,Masculino,1,Ciencias de la Computación,700,Xiaomi,128,Android,5,48,75,150,4
202210497,17,Femenino,1,Ingeniería Industrial,1000,Motorola ,64,Android,2,32,60,300,3
