Country,Total Earning by Player,Percentage of Country Total Earning,Team
Russian Federation,"$5,783.33",0.12%,Chaos Esports Club
Viet Nam,$400.00,0.01%,Chaos Esports Club
United States,"$2,173,726.26",46.00%,compLexity Gaming
Denmark,"$360,704.12",7.63%,compLexity Gaming
Sweden,"$359,197.94",7.60%,compLexity Gaming
Canada,"$308,534.14",6.53%,compLexity Gaming
Germany,"$241,421.40",5.11%,compLexity Gaming
Bulgaria,"$150,500.00",3.19%,compLexity Gaming
United Kingdom,"$133,294.03",2.82%,compLexity Gaming
Netherlands,"$79,577.74",1.68%,compLexity Gaming
Australia,"$57,296.14",1.21%,compLexity Gaming
Mexico,"$55,631.07",1.18%,compLexity Gaming
Finland,"$54,736.05",1.16%,compLexity Gaming
France,"$53,510.00",1.13%,compLexity Gaming
"Korea, Republic of","$45,663.79",0.97%,compLexity Gaming
Norway,"$17,902.72",0.38%,compLexity Gaming
Brazil,"$13,500.00",0.29%,compLexity Gaming
Romania,"$12,900.00",0.27%,compLexity Gaming
Singapore,"$11,010.00",0.23%,compLexity Gaming
Malaysia,"$8,510.00",0.18%,compLexity Gaming
Philippines,"$5,000.00",0.11%,compLexity Gaming
Peru,"$4,978.57",0.11%,compLexity Gaming
Israel,"$3,150.00",0.07%,compLexity Gaming
Jordan,$933.33,0.02%,compLexity Gaming
Philippines,"$3,792,150.62",83.63%,TnC Gaming
Australia,"$124,150.00",2.74%,TnC Gaming
United States,"$122,528.06",2.70%,TnC Gaming
"Korea, Republic of","$118,150.00",2.61%,TnC Gaming
Canada,"$116,851.03",2.58%,TnC Gaming
Indonesia,"$5,034.00",0.11%,TnC Gaming
Viet Nam,"$2,517.00",0.06%,TnC Gaming
Malaysia,"$2,517.00",0.06%,TnC Gaming
Russian Federation,"$2,610,721.38",58.06%,Gambit Esports
Kazakhstan,"$1,054,537.85",23.45%,Gambit Esports
Ukraine,"$275,224.27",6.12%,Gambit Esports
Belarus,"$138,883.33",3.09%,Gambit Esports
Estonia,"$64,405.33",1.43%,Gambit Esports
Kyrgyzstan,"$63,600.00",1.41%,Gambit Esports
Armenia,"$58,167.28",1.29%,Gambit Esports
Norway,"$27,736.68",0.62%,Gambit Esports
Latvia,"$14,502.89",0.32%,Gambit Esports
Uzbekistan,"$9,900.00",0.22%,Gambit Esports
Finland,"$7,750.00",0.17%,Gambit Esports
Denmark,"$6,993.88",0.16%,Gambit Esports
United Kingdom,"$4,780.00",0.11%,Gambit Esports
France,"$3,000.00",0.07%,Gambit Esports
Poland,"$2,918.06",0.06%,Gambit Esports
Czech Republic,$728.13,0.02%,Gambit Esports
Sweden,$500.00,0.01%,Gambit Esports
Denmark,"$961,406.83",22.98%,Team Dignitas
United Kingdom,"$587,925.69",14.06%,Team Dignitas
Sweden,"$502,603.36",12.02%,Team Dignitas
France,"$428,685.29",10.25%,Team Dignitas
United States,"$388,505.37",9.29%,Team Dignitas
Netherlands,"$260,643.02",6.23%,Team Dignitas
Norway,"$172,683.71",4.13%,Team Dignitas
Canada,"$117,271.60",2.80%,Team Dignitas
Austria,"$97,529.21",2.33%,Team Dignitas
"Korea, Republic of","$71,895.36",1.72%,Team Dignitas
Poland,"$67,876.38",1.62%,Team Dignitas
Belgium,"$63,090.86",1.51%,Team Dignitas
Chile,"$30,429.04",0.73%,Team Dignitas
Slovenia,"$29,011.11",0.69%,Team Dignitas
Venezuela,"$16,897.65",0.40%,Team Dignitas
Spain,"$4,435.20",0.11%,Team Dignitas
Italy,"$4,209.16",0.10%,Team Dignitas
Brazil,"$4,200.00",0.10%,Team Dignitas
Germany,"$4,083.65",0.10%,Team Dignitas
Finland,"$2,718.13",0.06%,Team Dignitas
Estonia,"$1,300.43",0.03%,Team Dignitas
Israel,"$1,300.43",0.03%,Team Dignitas
China,"$1,116.06",0.03%,Team Dignitas
Portugal,"$1,000.00",0.02%,Team Dignitas
Lithuania,$717.60,0.02%,Team Dignitas
Mexico,$666.67,0.02%,Team Dignitas
Romania,$596.85,0.01%,Team Dignitas
Ireland,$320.60,0.01%,Team Dignitas
Hungary,$95.58,0.00%,Team Dignitas
China,"$3,373,832.54",81.68%,EHOME
Macao,"$255,858.42",6.19%,EHOME
Singapore,"$192,234.20",4.65%,EHOME
Malaysia,"$79,570.85",1.93%,EHOME
"Taiwan, Republic of China","$7,001.21",0.17%,EHOME
France,"$3,057,850.85",74.50%,Vitality
United Kingdom,"$385,584.15",9.39%,Vitality
Belgium,"$160,089.61",3.90%,Vitality
Poland,"$81,271.94",1.98%,Vitality
Germany,"$60,804.09",1.48%,Vitality
Portugal,"$43,878.28",1.07%,Vitality
Italy,"$43,878.28",1.07%,Vitality
"Korea, Republic of","$10,414.72",0.25%,Vitality
Finland,"$8,850.25",0.22%,Vitality
Switzerland,"$8,024.31",0.20%,Vitality
Greece,"$5,818.72",0.14%,Vitality
Hungary,"$5,818.72",0.14%,Vitality
Austria,"$5,200.00",0.13%,Vitality
Spain,"$4,554.19",0.11%,Vitality
Sweden,"$4,041.79",0.10%,Vitality
Lithuania,"$2,770.23",0.07%,Vitality
Serbia,"$2,255.06",0.05%,Vitality
Tunisia,"$1,322.46",0.03%,Vitality
Luxembourg,"$1,300.00",0.03%,Vitality
United States,"$3,767,451.03",95.13%,Sentinels
Canada,"$190,174.70",4.80%,Sentinels
United Kingdom,"$2,850.00",0.07%,Sentinels
United States,"$2,939,830.34",77.56%,100 Thieves
United Kingdom,"$271,229.95",7.16%,100 Thieves
Australia,"$118,300.00",3.12%,100 Thieves
Norway,"$108,400.00",2.86%,100 Thieves
"Korea, Republic of","$93,716.66",2.47%,100 Thieves
Canada,"$62,394.04",1.65%,100 Thieves
New Zealand,"$38,100.00",1.01%,100 Thieves
China,"$14,333.33",0.38%,100 Thieves
Turkey,"$7,000.00",0.18%,100 Thieves
Philippines,"$3,535.71",0.09%,100 Thieves
United States,"$1,849,841.28",49.09%,Luminosity Gaming
Brazil,"$1,399,406.50",37.13%,Luminosity Gaming
United Kingdom,"$90,068.54",2.39%,Luminosity Gaming
Canada,"$72,503.34",1.92%,Luminosity Gaming
Hong Kong,"$51,625.00",1.37%,Luminosity Gaming
Norway,"$43,000.00",1.14%,Luminosity Gaming
Russian Federation,"$21,071.66",0.56%,Luminosity Gaming
Sweden,"$16,060.76",0.43%,Luminosity Gaming
Ukraine,"$12,021.67",0.32%,Luminosity Gaming
Germany,"$10,749.84",0.29%,Luminosity Gaming
Czech Republic,"$8,145.35",0.22%,Luminosity Gaming
Panama,"$7,425.00",0.20%,Luminosity Gaming
Japan,"$7,033.25",0.19%,Luminosity Gaming
"Korea, Republic of","$5,500.00",0.15%,Luminosity Gaming
France,"$5,333.32",0.14%,Luminosity Gaming
Finland,"$3,831.36",0.10%,Luminosity Gaming
Belgium,"$2,666.66",0.07%,Luminosity Gaming
Australia,"$2,400.00",0.06%,Luminosity Gaming
Viet Nam,"$1,500.00",0.04%,Luminosity Gaming
China,"$3,535,704.70",94.68%,CDEC Gaming
China,"$589,788.11",16.61%,eStar Gaming
China,"$2,095,461.29",60.08%,EDward Gaming
"Korea, Republic of","$798,653.86",22.90%,EDward Gaming
Hong Kong,"$34,052.39",0.98%,EDward Gaming
"Taiwan, Republic of China","$10,172.17",0.29%,EDward Gaming
United States,"$2,997,739.53",88.39%,eUnited
Ukraine,"$123,800.00",3.65%,eUnited
Canada,"$89,094.99",2.63%,eUnited
Mexico,"$36,183.33",1.07%,eUnited
United Kingdom,"$13,125.00",0.39%,eUnited
Russian Federation,"$7,500.00",0.22%,eUnited
Netherlands,"$6,875.00",0.20%,eUnited
Estonia,"$6,875.00",0.20%,eUnited
Latvia,"$6,875.00",0.20%,eUnited
Denmark,"$4,500.00",0.13%,eUnited
France,"$3,200.00",0.09%,eUnited
"Korea, Republic of","$2,800.00",0.08%,eUnited
Sweden,"$1,400.00",0.04%,eUnited
Germany,"$1,400.00",0.04%,eUnited
Puerto Rico,"$1,000.00",0.03%,eUnited
Russian Federation,"$1,900,606.25",56.43%,Team Empire
Ukraine,"$919,437.23",27.30%,Team Empire
Estonia,"$153,062.14",4.54%,Team Empire
"Korea, Republic of","$32,189.32",0.96%,Team Empire
Belarus,"$29,661.58",0.88%,Team Empire
Poland,"$7,888.43",0.23%,Team Empire
Serbia,"$6,085.06",0.18%,Team Empire
Kyrgyzstan,"$5,990.00",0.18%,Team Empire
Kazakhstan,"$5,298.78",0.16%,Team Empire
Uzbekistan,"$2,500.00",0.07%,Team Empire
Sweden,"$1,492.38",0.04%,Team Empire
Finland,$265.03,0.01%,Team Empire
Greece,$189.97,0.01%,Team Empire
Armenia,$131.58,0.00%,Team Empire
"Moldova, Republic of",$68.10,0.00%,Team Empire
Austria,"$1,654,000.00",49.73%,Cooler Esport
Norway,"$1,501,800.00",45.15%,Cooler Esport
Belgium,"$70,066.04",2.11%,Cooler Esport
Switzerland,"$66,300.00",1.99%,Cooler Esport
Sweden,"$15,848.22",0.48%,Cooler Esport
France,"$8,500.00",0.26%,Cooler Esport
United Kingdom,"$6,380.00",0.19%,Cooler Esport
Denmark,"$3,190.00",0.10%,Cooler Esport
United States,"$1,126,514.21",34.07%,Splyce
United Kingdom,"$723,406.54",21.88%,Splyce
"Korea, Republic of","$672,400.74",20.34%,Splyce
Ireland,"$172,950.00",5.23%,Splyce
Denmark,"$129,019.79",3.90%,Splyce
Germany,"$80,000.00",2.42%,Splyce
Romania,"$53,431.48",1.62%,Splyce
Canada,"$52,557.12",1.59%,Splyce
Italy,"$40,000.00",1.21%,Splyce
Mexico,"$35,600.00",1.08%,Splyce
Norway,"$27,571.60",0.83%,Splyce
Czech Republic,"$26,068.40",0.79%,Splyce
Hungary,"$24,565.20",0.74%,Splyce
Saudi Arabia,"$23,125.00",0.70%,Splyce
Slovenia,"$22,236.12",0.67%,Splyce
Belgium,"$13,681.54",0.41%,Splyce
Puerto Rico,"$7,540.00",0.23%,Splyce
Mongolia,"$6,328.57",0.19%,Splyce
Netherlands,"$3,088.57",0.09%,Splyce
Chile,"$1,503.20",0.05%,Splyce
France,"$1,503.20",0.05%,Splyce
Sweden,$950.00,0.03%,Splyce
Finland,$60.00,0.00%,Splyce
United States,"$3,118,300.00",99.53%,Atlanta Faze
Spain,"$6,100.00",0.19%,Atlanta Faze
Canada,"$6,100.00",0.19%,Atlanta Faze
"Korea, Republic of","$1,998,888.86",64.17%,San Francisco Shock
United States,"$801,111.11",25.72%,San Francisco Shock
Sweden,"$156,666.67",5.03%,San Francisco Shock
Japan,"$150,000.00",4.82%,San Francisco Shock
Spain,"$4,166.67",0.13%,San Francisco Shock
Mexico,"$4,166.67",0.13%,San Francisco Shock
China,"$1,244,315.52",41.79%,Nova eSports
"Taiwan, Republic of China","$766,404.94",25.74%,Nova eSports
Mexico,"$170,358.25",5.72%,Nova eSports
Spain,"$73,562.50",2.47%,Nova eSports
Viet Nam,"$51,764.01",1.74%,Nova eSports
Hong Kong,"$16,770.72",0.56%,Nova eSports
Argentina,"$7,687.50",0.26%,Nova eSports
Thailand,"$2,700.00",0.09%,Nova eSports
"Korea, Republic of","$1,800.00",0.06%,Nova eSports
"Korea, Republic of","$2,793,456.66",95.23%,KT Rolster
"Korea, Republic of","$2,727,238.88",98.50%,Jin Air Green Wings
"Taiwan, Republic of China","$7,553.11",0.27%,Jin Air Green Wings
China,"$1,646,876.19",64.00%,World Elite
"Korea, Republic of","$601,276.36",23.36%,World Elite
Hong Kong,"$1,200.00",0.05%,World Elite
Finland,"$2,395,380.38",96.55%,ENCE eSports
Poland,"$28,225.00",1.14%,ENCE eSports
Israel,"$20,825.00",0.84%,ENCE eSports
Denmark,"$20,825.00",0.84%,ENCE eSports
Belgium,"$2,200.00",0.09%,ENCE eSports
Hungary,"$1,950.00",0.08%,ENCE eSports
United States,"$1,242,257.94",50.17%,Ghost Gaming
Canada,"$285,174.45",11.52%,Ghost Gaming
Switzerland,"$102,654.51",4.15%,Ghost Gaming
Denmark,"$80,290.00",3.24%,Ghost Gaming
Germany,"$79,855.44",3.23%,Ghost Gaming
Philippines,"$47,500.00",1.92%,Ghost Gaming
United Kingdom,"$22,500.00",0.91%,Ghost Gaming
Ukraine,"$20,000.00",0.81%,Ghost Gaming
Australia,"$16,158.20",0.65%,Ghost Gaming
Puerto Rico,"$3,333.33",0.13%,Ghost Gaming
United States,"$1,878,642.01",76.52%,Spacestation Gaming
Canada,"$317,413.36",12.93%,Spacestation Gaming
Brazil,"$83,530.06",3.40%,Spacestation Gaming
Mexico,"$21,203.94",0.86%,Spacestation Gaming
United Kingdom,"$16,400.00",0.67%,Spacestation Gaming
Belarus,"$7,500.00",0.31%,Spacestation Gaming
Hong Kong,"$4,496.25",0.18%,Spacestation Gaming
France,"$2,000.00",0.08%,Spacestation Gaming
"Korea, Republic of","$2,000.00",0.08%,Spacestation Gaming
Georgia,"$2,000.00",0.08%,Spacestation Gaming
Australia,$625.00,0.03%,Spacestation Gaming
"Taiwan, Republic of China","$1,869,851.32",76.63%,Flash Wolves
"Korea, Republic of","$295,222.13",12.10%,Flash Wolves
Malaysia,"$672,809.30",27.63%,Mineski
United States,"$400,125.00",16.43%,Mineski
Philippines,"$358,831.27",14.74%,Mineski
Singapore,"$235,696.60",9.68%,Mineski
Thailand,"$231,396.60",9.50%,Mineski
Australia,"$175,214.25",7.20%,Mineski
Bulgaria,"$137,320.40",5.64%,Mineski
"Korea, Republic of","$23,666.89",0.97%,Mineski
Sweden,"$6,016.75",0.25%,Mineski
Adou,"Jiang, Tao","$484,965.73",Turnso Gaming
NuanYang,"Lin, Heng","$484,965.73",Turnso Gaming
QianShi,"Zhou, Kuan","$484,965.73",Turnso Gaming
ShenRen,"Ma, Tengfei","$484,965.73",Turnso Gaming
ShiJiu,"Chen, Runzhi","$484,965.73",Turnso Gaming
United States,"$1,501,000.00",62.04%,Dallas Empire
Canada,"$514,000.00",21.25%,Dallas Empire
Saudi Arabia,"$395,250.00",16.34%,Dallas Empire
United Kingdom,"$6,500.00",0.27%,Dallas Empire
China,"$2,164,937.48",89.55%,Four Angry Men
United States,"$1,196,227.21",49.49%,Tempo Storm
Canada,"$209,135.50",8.65%,Tempo Storm
Brazil,"$133,614.17",5.53%,Tempo Storm
Germany,"$122,955.79",5.09%,Tempo Storm
"Korea, Republic of","$95,213.87",3.94%,Tempo Storm
Austria,"$42,582.50",1.76%,Tempo Storm
Cuba,"$33,500.00",1.39%,Tempo Storm
China,"$15,325.00",0.63%,Tempo Storm
Finland,"$15,300.00",0.63%,Tempo Storm
United Kingdom,"$7,800.00",0.32%,Tempo Storm
Bosnia and Herzegovina,"$3,500.00",0.14%,Tempo Storm
Sweden,"$3,469.92",0.14%,Tempo Storm
Australia,"$1,602.85",0.07%,Tempo Storm
Venezuela,"$1,466.67",0.06%,Tempo Storm
Czech Republic,"$1,466.67",0.06%,Tempo Storm
Italy,$800.00,0.03%,Tempo Storm
Norway,$800.00,0.03%,Tempo Storm
Poland,$666.67,0.03%,Tempo Storm
Chile,$526.13,0.02%,Tempo Storm
French Polynesia,$179.17,0.01%,Tempo Storm
France,$150.00,0.01%,Tempo Storm
Brazil,"$1,825,594.53",82.24%,MIBR
United States,"$230,700.00",10.39%,MIBR
Argentina,"$57,100.00",2.57%,MIBR
Norway,$551.74,0.02%,MIBR
United States,"$825,672.11",37.83%,Rogue
Saudi Arabia,"$419,750.00",19.23%,Rogue
France,"$230,609.07",10.57%,Rogue
Germany,"$142,053.02",6.51%,Rogue
Sweden,"$109,122.80",5.00%,Rogue
Canada,"$106,447.27",4.88%,Rogue
Poland,"$82,198.25",3.77%,Rogue
Denmark,"$44,627.87",2.04%,Rogue
Belgium,"$22,000.00",1.01%,Rogue
Bulgaria,"$17,800.82",0.82%,Rogue
United Kingdom,"$14,386.71",0.66%,Rogue
Estonia,"$14,364.93",0.66%,Rogue
Romania,"$11,901.00",0.55%,Rogue
Australia,"$11,600.00",0.53%,Rogue
Mexico,"$5,950.00",0.27%,Rogue
"Korea, Republic of","$3,624.44",0.17%,Rogue
Switzerland,$451.06,0.02%,Rogue
United States,"$1,714,665.77",84.63%,COGnitive Gaming
Canada,"$281,133.40",13.88%,COGnitive Gaming
Germany,"$6,000.00",0.30%,COGnitive Gaming
China,"$1,600.00",0.08%,COGnitive Gaming
China,"$1,029,084.52",54.92%,Team DK
Malaysia,"$254,634.95",13.59%,Team DK
Singapore,"$254,634.95",13.59%,Team DK
"Korea, Republic of","$127,944.55",6.83%,Team DK
France,"$673,669.12",36.88%,Millenium
Russian Federation,"$263,690.51",14.44%,Millenium
Belgium,"$182,146.98",9.97%,Millenium
United Kingdom,"$159,799.69",8.75%,Millenium
"Korea, Republic of","$146,299.58",8.01%,Millenium
Germany,"$102,106.62",5.59%,Millenium
Ireland,"$40,723.81",2.23%,Millenium
Netherlands,"$25,531.54",1.40%,Millenium
Poland,"$24,386.35",1.33%,Millenium
Greece,"$20,865.42",1.14%,Millenium
Sweden,"$20,177.41",1.10%,Millenium
Spain,"$14,065.27",0.77%,Millenium
Turkey,"$10,356.10",0.57%,Millenium
United States,"$10,069.90",0.55%,Millenium
Slovakia,"$8,662.94",0.47%,Millenium
Denmark,"$8,411.47",0.46%,Millenium
Austria,"$8,236.84",0.45%,Millenium
Canada,"$4,050.00",0.22%,Millenium
Finland,"$3,731.23",0.20%,Millenium
Lithuania,"$2,544.56",0.14%,Millenium
Norway,"$1,899.74",0.10%,Millenium
Czech Republic,$852.20,0.05%,Millenium
Portugal,$750.34,0.04%,Millenium
Serbia,$683.03,0.04%,Millenium
Croatia,$648.80,0.04%,Millenium
China,"$743,710.37",41.68%,OMG
Sweden,"$613,047.39",34.92%,Epsilon eSports
United Kingdom,"$486,502.56",27.71%,Epsilon eSports
Germany,"$124,614.00",7.10%,Epsilon eSports
France,"$41,529.02",2.37%,Epsilon eSports
United States,"$22,402.00",1.28%,Epsilon eSports
Netherlands,"$18,553.56",1.06%,Epsilon eSports
Latvia,"$16,066.26",0.92%,Epsilon eSports
Denmark,"$15,981.84",0.91%,Epsilon eSports
Spain,"$13,090.10",0.75%,Epsilon eSports
Romania,"$12,901.87",0.73%,Epsilon eSports
Bulgaria,"$9,466.26",0.54%,Epsilon eSports
Belgium,"$7,773.05",0.44%,Epsilon eSports
Poland,"$7,612.76",0.43%,Epsilon eSports
Canada,"$6,826.00",0.39%,Epsilon eSports
Russian Federation,"$4,000.00",0.23%,Epsilon eSports
Greece,"$1,572.48",0.09%,Epsilon eSports
Croatia,$850.08,0.05%,Epsilon eSports
Slovenia,$850.08,0.05%,Epsilon eSports
Austria,$444.21,0.03%,Epsilon eSports
Ireland,$250.00,0.01%,Epsilon eSports
United States,"$1,320,972.40",75.54%,Susquehanna Soniqs
Australia,"$385,772.25",22.06%,Susquehanna Soniqs
Philippines,"$13,147.19",0.75%,Susquehanna Soniqs
Belgium,"$6,400.00",0.37%,Susquehanna Soniqs
Finland,"$6,400.00",0.37%,Susquehanna Soniqs
Canada,"$5,350.00",0.31%,Susquehanna Soniqs
United Kingdom,$250.00,0.01%,Susquehanna Soniqs
United States,"$884,959.65",50.71%,Echo Fox
Japan,"$378,648.00",21.70%,Echo Fox
Mexico,"$191,968.87",11.00%,Echo Fox
"Korea, Republic of","$110,635.43",6.34%,Echo Fox
Czech Republic,"$40,086.60",2.30%,Echo Fox
Puerto Rico,"$17,300.00",0.99%,Echo Fox
United Kingdom,"$13,362.20",0.77%,Echo Fox
Canada,"$10,619.04",0.61%,Echo Fox
New Zealand,"$2,600.00",0.15%,Echo Fox
Australia,"$1,200.00",0.07%,Echo Fox
Australia,"$937,976.63",54.16%,Renegades
United States,"$314,100.36",18.14%,Renegades
New Zealand,"$133,636.09",7.72%,Renegades
Norway,"$77,733.33",4.49%,Renegades
Canada,"$53,797.63",3.11%,Renegades
United Kingdom,"$14,710.13",0.85%,Renegades
Serbia,"$12,850.00",0.74%,Renegades
Denmark,"$8,000.00",0.46%,Renegades
Venezuela,"$3,666.67",0.21%,Renegades
Russian Federation,"$3,666.67",0.21%,Renegades
Ukraine,"$3,666.67",0.21%,Renegades
France,"$2,473.70",0.14%,Renegades
Finland,"$2,473.70",0.14%,Renegades
Afghanistan,"$1,666.67",0.10%,Renegades
China,"$1,227,860.08",71.65%,TyLoo
Indonesia,"$195,656.09",11.42%,TyLoo
Hong Kong,"$35,643.46",2.08%,TyLoo
"Korea, Republic of","$1,100.00",0.06%,TyLoo
Russian Federation,$753.65,0.04%,TyLoo
Ukraine,"$332,165.43",19.47%,HellRaisers
Russian Federation,"$225,742.45",13.24%,HellRaisers
Hungary,"$105,047.40",6.16%,HellRaisers
Jordan,"$86,909.08",5.10%,HellRaisers
Slovakia,"$81,401.44",4.77%,HellRaisers
Turkey,"$80,347.40",4.71%,HellRaisers
Kazakhstan,"$59,823.22",3.51%,HellRaisers
Czech Republic,"$38,563.12",2.26%,HellRaisers
Bosnia and Herzegovina,"$18,356.00",1.08%,HellRaisers
Belarus,"$18,356.00",1.08%,HellRaisers
Israel,"$18,356.00",1.08%,HellRaisers
Greece,"$18,356.00",1.08%,HellRaisers
Estonia,"$16,400.00",0.96%,HellRaisers
Lithuania,"$15,914.77",0.93%,HellRaisers
Serbia,"$12,344.00",0.72%,HellRaisers
Latvia,"$9,413.09",0.55%,HellRaisers
Netherlands,"$7,012.00",0.41%,HellRaisers
Spain,"$6,501.68",0.38%,HellRaisers
Germany,"$1,256,340.33",74.18%,BIG
Turkey,"$182,808.32",10.79%,BIG
United Kingdom,"$45,200.00",2.67%,BIG
Serbia,"$38,585.61",2.28%,BIG
Finland,"$34,832.49",2.06%,BIG
Greece,"$23,170.20",1.37%,BIG
Czech Republic,"$22,247.83",1.31%,BIG
France,"$18,108.22",1.07%,BIG
Austria,"$13,673.41",0.81%,BIG
Estonia,"$8,832.66",0.52%,BIG
Netherlands,"$5,585.77",0.33%,BIG
Poland,"$4,705.40",0.28%,BIG
Sweden,$629.44,0.04%,BIG
China,"$843,270.33",50.64%,FunPlus Phoenix
"Korea, Republic of","$536,375.01",32.21%,FunPlus Phoenix
Sweden,"$43,773.45",2.63%,FunPlus Phoenix
Ukraine,"$18,753.61",1.13%,FunPlus Phoenix
Russian Federation,"$18,753.61",1.13%,FunPlus Phoenix
Montenegro,"$17,000.00",1.02%,FunPlus Phoenix
Finland,"$17,000.00",1.02%,FunPlus Phoenix
Denmark,"$17,000.00",1.02%,FunPlus Phoenix
Slovakia,"$17,000.00",1.02%,FunPlus Phoenix
Kazakhstan,"$12,487.38",0.75%,FunPlus Phoenix
Serbia,"$1,000.00",0.06%,FunPlus Phoenix
"Korea, Republic of","$1,424,999.95",87.36%,London Spitfire
"Korea, Republic of","$1,475,000.05",92.91%,New York Excelsior
China,"$1,138,319.76",72.62%,Top Esports
"Taiwan, Republic of China","$153,074.86",9.77%,Top Esports
"Korea, Republic of","$44,667.57",2.85%,Top Esports
Russian Federation,"$1,029,254.30",66.63%,Team Spirit
Ukraine,"$282,917.53",18.31%,Team Spirit
Belarus,"$60,652.75",3.93%,Team Spirit
Denmark,"$39,572.30",2.56%,Team Spirit
Germany,"$8,481.15",0.55%,Team Spirit
Slovakia,"$8,481.15",0.55%,Team Spirit
"Taiwan, Republic of China","$1,296,123.14",84.74%,Taipei Assassins
Hong Kong,"$214,979.72",14.05%,Taipei Assassins
"Korea, Republic of","$6,641.31",0.43%,Taipei Assassins
Singapore,"$6,641.31",0.43%,Taipei Assassins
"Taiwan, Republic of China","$1,079,615.55",70.79%,ahq e-Sports Club
Singapore,"$43,230.48",2.83%,ahq e-Sports Club
China,"$23,321.52",1.53%,ahq e-Sports Club
Macao,"$11,845.00",0.78%,ahq e-Sports Club
"Korea, Republic of","$1,600.00",0.10%,ahq e-Sports Club
"Korea, Republic of","$1,396,377.00",91.72%,Afreeca Freecs
United Kingdom,"$1,000,500.00",65.96%,Toronto Ultra
Denmark,"$357,000.00",23.54%,Toronto Ultra
Canada,"$6,733.34",0.44%,Toronto Ultra
"Korea, Republic of","$1,484,016.47",98.77%,CJ Entus
United States,"$15,918.58",1.06%,CJ Entus
United States,"$358,503.68",23.98%,Team Reciprocity
"Korea, Republic of","$166,286.05",11.12%,Team Reciprocity
Canada,"$68,600.00",4.59%,Team Reciprocity
France,"$62,440.24",4.18%,Team Reciprocity
Denmark,"$28,309.53",1.89%,Team Reciprocity
United Kingdom,"$4,621.18",0.31%,Team Reciprocity
Gibraltar,"$3,454.51",0.23%,Team Reciprocity
Sweden,"$3,454.51",0.23%,Team Reciprocity
Germany,"$1,166.67",0.08%,Team Reciprocity
Germany,"$1,001,705.35",67.34%,ALTERNATE aTTaX
Finland,"$89,595.00",6.02%,ALTERNATE aTTaX
"Korea, Republic of","$89,435.00",6.01%,ALTERNATE aTTaX
France,"$78,185.00",5.26%,ALTERNATE aTTaX
Poland,"$48,059.30",3.23%,ALTERNATE aTTaX
Denmark,"$24,660.91",1.66%,ALTERNATE aTTaX
Italy,"$6,883.37",0.46%,ALTERNATE aTTaX
Sweden,"$5,307.27",0.36%,ALTERNATE aTTaX
Turkey,"$3,767.88",0.25%,ALTERNATE aTTaX
Netherlands,"$2,918.56",0.20%,ALTERNATE aTTaX
Switzerland,"$2,877.44",0.19%,ALTERNATE aTTaX
Spain,"$2,790.11",0.19%,ALTERNATE aTTaX
Austria,$806.59,0.05%,ALTERNATE aTTaX
Greece,$725.62,0.05%,ALTERNATE aTTaX
Norway,$204.98,0.01%,ALTERNATE aTTaX
Estonia,$204.98,0.01%,ALTERNATE aTTaX
Belgium,$50.00,0.00%,ALTERNATE aTTaX
United States,"$875,053.62",58.93%,Rise Nation
Dominican Republic,"$259,182.50",17.46%,Rise Nation
Canada,"$143,225.00",9.65%,Rise Nation
Poland,"$3,300.00",0.22%,Rise Nation
Greece,"$3,000.00",0.20%,Rise Nation
Viet Nam,$771.32,0.05%,Rise Nation
China,"$130,519.83",8.87%,Qiao Gu Reapers
"Korea, Republic of","$68,893.53",4.68%,Qiao Gu Reapers
Brazil,"$1,332,847.46",92.15%,FURIA Esports
United States,"$19,800.00",1.37%,FURIA Esports
Argentina,"$4,975.27",0.34%,FURIA Esports
Denmark,"$1,252,960.16",87.31%,Heroic
Sweden,"$156,734.64",10.92%,Heroic
Norway,"$9,200.00",0.64%,Heroic
France,"$1,257,453.11",87.73%,LeStream Esport
Switzerland,"$135,369.95",9.44%,LeStream Esport
Germany,"$15,689.90",1.09%,LeStream Esport
Belgium,"$12,689.90",0.89%,LeStream Esport
Finland,"$9,689.90",0.68%,LeStream Esport
Peru,"$1,094,313.54",76.45%,Infamous
Bolivia,"$197,943.47",13.83%,Infamous
Argentina,"$61,735.67",4.31%,Infamous
Slovakia,"$2,000.00",0.14%,Infamous
Denmark,"$2,000.00",0.14%,Infamous
Ecuador,"$1,720.00",0.12%,Infamous
"Korea, Republic of","$1,183,464.43",88.50%,ROX Gaming
Denmark,"$1,211,212.85",91.74%,North
Germany,"$20,246.67",1.53%,North
Croatia,"$20,246.67",1.53%,North
Norway,"$7,000.00",0.53%,North
Sweden,"$3,550.00",0.27%,North
"Korea, Republic of","$1,196,113.94",91.11%,Incredible Miracle
Peru,"$11,457.26",0.87%,Incredible Miracle
China,"$1,203,292.72",93.77%,Keen Gaming
United States,"$377,397.12",29.52%,Misfits
France,"$192,361.76",15.04%,Misfits
United Kingdom,"$134,145.07",10.49%,Misfits
Germany,"$112,964.15",8.84%,Misfits
Norway,"$73,206.77",5.73%,Misfits
"Korea, Republic of","$71,451.31",5.59%,Misfits
Sweden,"$70,112.50",5.48%,Misfits
Poland,"$33,687.33",2.63%,Misfits
Netherlands,"$31,521.11",2.47%,Misfits
Czech Republic,"$22,184.58",1.74%,Misfits
Denmark,"$15,924.60",1.25%,Misfits
