IngresoUniversidad,EstudiayTrabaja,Escala,Beca,PresupuestoS,CantidadAlmuerzos,PrecioMaxAlmuerzos,TipodeTransporte,GastoSemanalTransporte,PlanMovil,AsistenciaUniversidad,GastoExtra,PlanificacionGastosS,ConociminetoFinanciero,FrecuenciaAprendizajeFi,MedioInformacionFi,AhorroSemanal,Organizacion,NiveldeAdministraicon,CantidadTalleresFi,SatisfaccionPresupuestoS,GastoCubierto,EficienciaPlanificacion,GastoPlanMovil
2021-2,No,B,Becado,300,2,16,Otros,12,Soy prepago,6,No ahorra,No,"No conoce, no administra",Casi nunca,Tik Tok,5,0,Mala,0,Sí,4,Ineficiente,30
2021-2,No,D,Becado,400,2,20,Taxi,100,Soy postpago,5,Ahorra un poco,Sí,"Si conoce, si administra",Casi siempre,Otros,15,1,Regular,0,Sí,3,"Ni eficiente, ni ineficiente",0
2021-2,No,D,Becado,120,0,12,Otros,0,Soy prepago,6,Ahorra todo,No,"No conoce, no administra",Rara vez,Facebook,5,0,Regular,0,Sí,4,"Ni eficiente, ni ineficiente",5
2022-1,No,C,No becado,250,2,12,Taxi,100,Soy prepago,5,Ahorra casi todo,Sí,"No conoce, si administra",A veces,Instagram,35,1,Buena,1,Sí,0,Muy eficiente,30
2021-2,No,C,Becado,50,3,10,Bus,12,Soy prepago,6,No ahorra,Sí,"Si conoce, si administra",A veces,Instagram,7.5,1,Buena,1,Sí,4,Eficiente,3
2022-2,No,D,Becado,200,4,13,Bus,10,Soy postpago,5,Ahorra todo,Sí,"No conoce, si administra",Casi nunca,Otros,15,1,Regular,0,Sí,2,"Ni eficiente, ni ineficiente",0
2021-2,No,E,Becado,120,2,15,Bus,40,Soy prepago,5,Ahorra casi nada,Sí,"Si conoce, no administra",Rara vez,Instagram,15,2,Muy mala,2,Sí,1,Eficiente,10
2021-2,Sí,E,Becado,200,2,10,Bus,5,Soy prepago,5,Ahorra todo,Sí,"No conoce, si administra",Casi siempre,Facebook,5,0,Buena,0,Sí,5,Eficiente,5
2021-2,Sí,E,Becado,105.89,3,11,Metropolitano o tren,23,Soy postpago,5,Ahorra casi todo,Sí,"Si conoce, si administra",Rara vez,Tik Tok,5,0,Mala,0,Sí,5,Poco eficiente,0
2020-2,No,E,No becado,40,0,5,Bus,24,Soy postpago,4,Ahorra todo,Sí,"No conoce, si administra",Casi nunca,Tik Tok,7.5,1,Buena,2,Sí,0,Eficiente,0
2021-2,No,E,Becado,100,3,13,Metropolitano o tren,2.5,Soy postpago,5,Ahorra casi todo,No,"Si conoce, no administra",A veces,Tik Tok,35,1,Buena,0,Sí,3,Ineficiente,0
2021-2,No,C,Becado,50,1,15.5,Bus,1,Soy postpago,6,Ahorra casi todo,Sí,"No conoce, si administra",Casi siempre,Podcast,7.5,4,Excelente,1,Sí,2,Muy eficiente,0
2020-2,Sí,E,Becado,87,2,20,Otros,4,Soy prepago,4,Ahorra casi todo,Sí,"No conoce, si administra",Casi nunca,Tik Tok,15,1,Mala,0,Sí,2,Poco eficiente,5
2020-1,No,E,Credito educativo,50,2,13,Metropolitano o tren,12,Soy postpago,5,Ahorra todo,Sí,"Si conoce, no administra",Casi siempre,Tik Tok,15,1,Regular,2,Sí,0,Eficiente,0
2021-1,No,E,Becado,100,5,13,Metropolitano o tren,25,Soy prepago,5,Ahorra un poco,Sí,"Si conoce, si administra",Rara vez,Tik Tok,7.5,0,Mala,3,Sí,2,"Ni eficiente, ni ineficiente",6
2019-2,No,E,Becado,70,1,15,Bus,50,Soy postpago,6,Ahorra un poco,No,"Si conoce, no administra",Casi siempre,Instagram,15,3,Buena,1,Sí,3,Eficiente,0
2021-2,No,E,Becado,40,1,13,Otros,0,Soy postpago,5,Ahorra casi todo,No,"No conoce, si administra",A veces,Instagram,7.5,1,Mala,1,No,4,"Ni eficiente, ni ineficiente",0
2021-1,No,D,Credito educativo,150,3,20,Taxi,60,Soy postpago,6,Ahorra un poco,No,"No conoce, si administra",Rara vez,Instagram,15,3,Regular,0,Sí,1,Poco eficiente,0
2021-2,Sí,E,Becado,73,3,13,Metropolitano o tren,28,Soy prepago,4,Ahorra todo,Sí,"Si conoce, si administra",Casi siempre,Instagram,15,2,Buena,0,Sí,2,Muy eficiente,5
2021-2,No,E,Becado,10,1,8,Metropolitano o tren,50,Soy prepago,6,Ahorra un poco,No,"Si conoce, no administra",Rara vez,Podcast,5,1,Mala,1,Sí,3,Poco eficiente,5
2020-1,No,E,No becado,30,3,20,Metropolitano o tren,3,Soy prepago,6,Ahorra un poco,No,"No conoce, si administra",A veces,Otros,15,0,Regular,2,Sí,5,"Ni eficiente, ni ineficiente",2
