IngresoUniversidad,EstudiayTrabaja,Escala,Beca,PresupuestoS,CantidadAlmuerzos,PrecioMaxAlmuerzos,TipodeTransporte,GastoSemanalTransporte,PlanMovil,AsistenciaUniversidad,GastoExtra,PlanificacionGastosS,ConociminetoFinanciero,FrecuenciaAprendizajeFi,MedioInformacionFi,AhorroSemanal,Organizacion,NiveldeAdministraicon,CantidadTalleresFi,SatisfaccionPresupuestoS,GastoCubierto,EficienciaPlanificacion,GastoPlanMovil
2021-2,No,E,Becado,200,2,10,Metropolitano o tren,25,Soy postpago,5,Ahorra un poco,Sí,"Si conoce, no administra",A veces,Facebook,50,1,Regular,3,Sí,2,"Ni eficiente, ni ineficiente",30
2021-1,No,D,Credito educativo,100,3,12,Metropolitano o tren,4,Soy postpago,5,Ahorra casi todo,Sí,"Si conoce, no administra",Casi siempre,Instagram,20,1,Regular,2,No,3,"Ni eficiente, ni ineficiente",0
2019-2,No,E,Becado,50,1,15,Vehiculo particular,20,Soy postpago,6,Ahorra casi nada,No,"Si conoce, no administra",Casi siempre,Instagram,20,1,Excelente,0,Sí,3,"Ni eficiente, ni ineficiente",0
2022-1,No,E,Becado,125,1,13,Otros,2.5,Soy prepago,5,Ahorra todo,Sí,"No conoce, si administra",A veces,Instagram,10,3,Buena,0,No,3,Eficiente,5
2022-1,No,D,No becado,300,1,12,Metropolitano o tren,15,Soy postpago,6,Ahorra un poco,Sí,"No conoce, si administra",Casi nunca,Otros,70,0,Regular,0,Sí,1,"Ni eficiente, ni ineficiente",0
2022-2,No,C,Becado,100,0,12,Metropolitano o tren,30,Soy prepago,6,Ahorra casi todo,Sí,"Si conoce, no administra",A veces,Tik Tok,50,1,Regular,0,No,4,"Ni eficiente, ni ineficiente",29
2018-2,No,E,No becado,200,0,10,Metropolitano o tren,12.5,Soy postpago,5,Ahorra un poco,No,"Si conoce, no administra",A veces,Otros,20,0,Regular,Más de 5 cursos o talleres,Sí,2,Poco eficiente,0
2022-2,No,E,Becado,100,5,12,Bus,10,Soy prepago,5,Ahorra casi todo,No,"Si conoce, si administra",Rara vez,Instagram,0,1,Regular,0,No,2,Ineficiente,30
2022-1,Sí,E,Credito educativo,30,1,14,Bus,18,Soy prepago,6,Ahorra un poco,Sí,"No conoce, si administra",A veces,Tik Tok,5,1,Regular,0,No,1,Eficiente,5
2022-2,No,D,No becado,60,4,15,Metropolitano o tren,40,Soy postpago,6,Ahorra casi nada,No,"No conoce, si administra",A veces,Instagram,5,0,Mala,0,Sí,0,"Ni eficiente, ni ineficiente",30
2022-2,No,E,No becado,120,3,15,Metropolitano o tren,15,Soy postpago,5,Ahorra casi nada,No,"No conoce, si administra",Casi nunca,Tik Tok,40,0,Regular,2,Sí,0,"Ni eficiente, ni ineficiente",0
2021-1,No,E,No becado,80,0,5,Metropolitano o tren,18,Soy postpago,4,Ahorra casi nada,No,"Si conoce, no administra",A veces,Otros,10,0,Regular,3,Sí,2,Ineficiente,0
2019-1,Sí,A,No becado,100,1,25,Vehiculo particular,50,Soy postpago,5,Ahorra todo,Sí,"No conoce, si administra",Casi nunca,Tik Tok,30,1,Excelente,0,Sí,2,Muy eficiente,0
2021-1,No,E,No becado,150,0,17,Metropolitano o tren,20,Soy postpago,5,Ahorra un poco,Sí,"No conoce, si administra",A veces,Tik Tok,50,1,Mala,2,Sí,2,"Ni eficiente, ni ineficiente",0
2021-2,No,D,Credito educativo,500,3,12,Bus,15,Soy postpago,5,Ahorra un poco,Sí,"No conoce, si administra",Siempre,Eventos de UTEC,0,1,Regular,2,Sí,2,Poco eficiente,0
2021-1,No,E,Credito educativo,100,2,13,Metropolitano o tren,10,Soy prepago,5,Ahorra un poco,Sí,"Si conoce, si administra",Casi nunca,Facebook,12,4,Mala,1,Sí,4,Poco eficiente,5
2021-2,No,E,Becado,100,5,25,Bus,50,Soy postpago,5,Ahorra casi todo,Sí,"No conoce, si administra",A veces,Tik Tok,20,1,Regular,1,Sí,1,Muy eficiente,0
2021-2,No,E,Becado,50,2,15,Metropolitano o tren,25,Soy prepago,4,Ahorra casi todo,Sí,"No conoce, si administra",A veces,Tik Tok,10,2,Buena,0,No,3,Eficiente,5
2021-1,No,A,No becado,100,1,30,Metropolitano o tren,30,Soy postpago,5,Ahorra un poco,No,"No conoce, si administra",Rara vez,Otros,50,1,Buena,0,Sí,0,Eficiente,0
2022-2,No,E,Becado,80,3,13,Otros,0,Soy postpago,5,Ahorra un poco,No,"Si conoce, no administra",Casi nunca,Otros,10,2,Regular,0,Sí,3,Ineficiente,0
2022-2,No,E,Becado,100,3,12,Otros,0,Soy postpago,6,No ahorra,No,"No conoce, si administra",A veces,Otros,10,0,Regular,0,Sí,4,"Ni eficiente, ni ineficiente",30
2022-2,No,E,Becado,120,2,11,Otros,4,Soy prepago,6,Ahorra un poco,Sí,"No conoce, no administra",A veces,Facebook,1,1,Buena,0,Sí,4,Ineficiente,5
2022-2,No,E,Becado,200,0,10,Bus,15,Soy postpago,6,Ahorra casi todo,Sí,"Si conoce, si administra",A veces,Tik Tok,40,1,Buena,2,Sí,4,Muy eficiente,35
2022-2,No,E,Becado,200,4,15,Otros,20,Soy prepago,6,Ahorra casi todo,Sí,"No conoce, si administra",A veces,Otros,30,0,Buena,0,Sí,4,Eficiente,20
2022-2,No,E,Becado,70,1,12,Otros,0,Soy prepago,5,Ahorra todo,Sí,"Si conoce, si administra",A veces,Facebook,50,1,Regular,0,Sí,2,Muy eficiente,0
2023-1,No,E,No becado,400,6,13,Bus,10,Soy postpago,6,Ahorra casi todo,Sí,"Si conoce, si administra",A veces,Tik Tok,10,2,Buena,3,Sí,2,"Ni eficiente, ni ineficiente",0
2020-1,No,E,No becado,325,5,20,Metropolitano o tren,35,Soy prepago,6,Ahorra un poco,No,"Si conoce, si administra",Siempre,Tik Tok,0,0,Regular,0,Sí,3,Eficiente,0
2019-1,No,E,No becado,50,1,15,Metropolitano o tren,30,Soy postpago,6,Ahorra casi nada,Sí,"Si conoce, si administra",A veces,Instagram,10,1,Regular,0,Sí,0,Poco eficiente,0
2020-1,Sí,D,No becado,50,3,20,Taxi,52.5,Soy postpago,5,Ahorra casi todo,No,"No conoce, si administra",Rara vez,Otros,10,0,Regular,3,Sí,1,"Ni eficiente, ni ineficiente",0
2020-1,Sí,E,Becado,100,0,12,Metropolitano o tren,65,Soy postpago,6,Ahorra todo,Sí,"Si conoce, no administra",Casi siempre,Facebook,15,1,Regular,2,No,2,"Ni eficiente, ni ineficiente",0
2019-2,No,E,No becado,250,2,16,Vehiculo particular,30,Soy postpago,6,Ahorra un poco,No,"Si conoce, si administra",Rara vez,Tik Tok,70,0,Regular,2,Sí,0,Muy eficiente,0
2019-2,No,E,No becado,75,1,11,Bus,9,Soy prepago,5,Ahorra todo,Sí,"Si conoce, si administra",Casi nunca,Otros,20,1,Regular,1,Sí,0,"Ni eficiente, ni ineficiente",15
2019-1,No,E,No becado,10,0,5,Bus,7,Soy prepago,5,Ahorra casi nada,Sí,"Si conoce, no administra",Rara vez,Eventos de UTEC,2,0,Regular,1,Sí,1,"Ni eficiente, ni ineficiente",20
2021-1,No,B,No becado,200,3,20,Metropolitano o tren,60,Soy postpago,5,Ahorra un poco,No,"Si conoce, no administra",Rara vez,Otros,70,1,Muy mala,0,Sí,3,"Ni eficiente, ni ineficiente",0
2023-1,No,C,No becado,350,5,30,Vehiculo particular,80,Soy postpago,6,Ahorra un poco,No,"Si conoce, no administra",Casi nunca,Tik Tok,50,1,Muy mala,2,Sí,0,Ineficiente,0
2020-1,Sí,D,Credito educativo,400,1,14,Vehiculo particular,150,Soy postpago,5,No ahorra,Sí,"Si conoce, si administra",Casi siempre,Otros,0,1,Regular,0,No,5,Ineficiente,40
2019-1,No,E,No becado,70,0,10,Metropolitano o tren,55,Soy postpago,5,Ahorra todo,Sí,"Si conoce, si administra",Casi siempre,Tik Tok,15,2,Excelente,1,Sí,0,Eficiente,0
2021-1,No,B,No becado,100,4,14.5,Otros,20,Soy postpago,5,Ahorra un poco,No,"Si conoce, si administra",Casi siempre,Tik Tok,40,3,Buena,3,Sí,0,"Ni eficiente, ni ineficiente",0
2021-2,No,E,Becado,35,0,11,Metropolitano o tren,10,Soy postpago,5,No ahorra,Sí,"Si conoce, si administra",A veces,Facebook,6,3,Buena,1,Sí,4,Muy eficiente,0
2018-1,Sí,E,No becado,300,1,30,Bus,40,Soy postpago,4,Ahorra todo,No,"Si conoce, no administra",A veces,Podcast,70,2,Mala,0,No,4,Poco eficiente,0
2021-2,No,E,Becado,153,1,15,Bus,36,Soy postpago,5,Ahorra un poco,Sí,"Si conoce, si administra",Casi nunca,Podcast,15,2,Regular,0,Sí,3,Eficiente,0
2021-2,No,E,Becado,300,6,15,Otros,5,Soy prepago,6,Ahorra casi todo,Sí,"Si conoce, no administra",Rara vez,Instagram,0,3,Regular,0,Sí,0,"Ni eficiente, ni ineficiente",0
2021-2,No,E,Becado,300,2,12,Metropolitano o tren,1.25,Soy postpago,5,Ahorra casi todo,Sí,"No conoce, no administra",A veces,Podcast,20,3,Regular,1,Sí,1,Eficiente,24
2022-1,No,E,Becado,50,0,15,Metropolitano o tren,20,Soy postpago,3,Ahorra todo,No,"No conoce, si administra",Casi nunca,Otros,10,0,Muy mala,0,Sí,0,Poco eficiente,0
2021-2,No,E,Becado,200,0,11,Bus,10,Soy postpago,6,Ahorra un poco,Sí,"No conoce, si administra",A veces,Facebook,10,1,Regular,1,Sí,3,"Ni eficiente, ni ineficiente",0
