Edad,Sexo,Ciclo,Promedio_ponderado,Distrito,Transporte,Tiempo_transporte,Horas_dormidas,Min_pasaje,Max_pasaje,Hora_salida_hogar,Hora_salida_de_UTEC,Faltas,Max_pasaje_no_planeado,Min_pasaje_no_planeado,Max_pasaje_bus,Min_pasaje_bus,Promedio_pasaje,Promedio_pasaje_no_planeado,Promedio_pasaje_bus
18,Hombre,2,13.27,Breña,Bus,50,7,3,6,5,13,3,7,4,3,1,4.5,5.5,2
17,Mujer,2,17,Santiago de Surco,Bus,20,5,2,3.5,6,14,0,7,5,2,1.5,2.75,6,1.75
19,Hombre,7,14.32,El agustino,Bus,130,6,4,7,5,20,10 a más,35,20,4,2,5.5,27.5,3
22,Mujer,2,18.05,Comas,Colectivo,120,5,8,23,5,8,7,35,23,2.5,1,15.5,29,1.75
20,Hombre,2,16,Barranco,Bus,30,6,2,2,5,18,5,4,2,2,2,2,3,2
16,Hombre,2,16.55,San borja,Metropolitano,35,6,3.5,5,6,13,4,25,12,3.5,2,4.25,18.5,2.75
18,Mujer,2,12.350000000000003,Santiago de Surco,Colectivo,40,7,1.5,2,6,18,4,2,1,2,1.5,1.75,1.5,1.75
18,Mujer,2,12.05,Santiago de Surco,Bus,30,7,1,1,8,16,4,10,10,2,2,1,10,2
19,Mujer,4,15.62,Barranco,Caminando,5,6,0,0,7,8,1,5,0,4.5,2.5,0,2.5,3.5
18,Mujer,2,14.69,Chorrillos,Metropolitano,15,4,4,8,6,8,2,20,10,5,3,6,15,4
17,Hombre,2,17.5,Independencia,Metropolitano,100,7,3.2,3.2,5,13,0,30,8,4,2,3.2,19,3
18,Hombre,2,NA,Barranco,Metropolitano,NA,1,0.2,1,14,15,5,1,0,1,1,0.6,0.5,1
21,Mujer,4,13.98,San Juan de Miraflores,Bus,80,5,5,7,7,18,10 a más,30,22,2.5,1,6,26,1.75
17,Hombre,2,15.31,Santiago de Surco,Bus,45,6,1.5,2,6,13,4,20,13,4,1,1.75,16.5,2.5
20,Hombre,2,15,Miraflores,Bus,25,7,3,4,6,13,3,10,8,2,1,3.5,9,1.5
16,Mujer,2,18,Santiago de Surco,Bus,75,6,1.5,4.5,5,13,2,15,10,3,1,3,12.5,2
19,Hombre,2,13,Chorrillos,Bus,15,6,1,12,9,19,4,12,10,1.5,1,6.5,11,1.25
19,Mujer,4,14,Barranco,Caminando,5,5,2.5,2.5,6,10,0,10,10,3.5,1,2.5,10,2.25
18,Hombre,2,18.05,Barranco,Caminando,35,6.5,0,2.5,6,16,3,20,10,3.5,2,1.25,15,2.75
18,Mujer,2,15.72,San Martin de Porres,Bus,10,6,4.5,2.3,5,18,10 a más,7,7,2,1,3.4,7,1.5
18,Hombre,3,14.360000000000003,San Juan de Miraflores,Carro propio,60,7,3,3.5,8,18,2,25,15,5,3,3.25,20,4
17,Hombre,3,15.2,Chorrillos,Bus,45,7,3,3.5,6,19,0,5,2,2,1,3.25,3.5,1.5
17,Hombre,2,15.7,Chorrillos,Carro propio,20,7,1.5,3.3,7,13,0,0,0,3,1.5,2.4,0,2.25
17,Hombre,2,16,Santiago de Surco,Otros,60,6,0,24,7,13,0,24,24,5,3,12,24,4
22,Hombre,2,10.5,San Juan de Miraflores,Colectivo,50,6,7,10,9,13,6,35,15,5,3,8.5,25,4
19,Mujer,4,14.3,Lurigancho,Bus,60,7,3,5,6,11,4,20,15,8,5,4,17.5,6.5
20,Mujer,4,11.9,San Juan de Miraflores,Bus,80,5,4,15,6,11,3,20,15,7,3,9.5,17.5,5
19,Mujer,4,12,Chorrillos,Bus,50,8,6,15,8,15,10 a más,21,20,8,3.54,10.5,20.5,5.77
17,Hombre,3,12.93,Villa el Salvador,Metropolitano,120,7,9,9,12,8,5,30,30,5,2.5,9,30,3.75
23,Hombre,5,15,San Juan de Lurigancho,Tren eléctrico,60,7,3.5,5,8,22,10 a más,30,30,2,1,4.25,30,1.5
19,Mujer,5,12.3,Chorrillos,Metropolitano,40,6,2.25,4.5,10,20,3,0,0,2,1.5,3.38,0,1.75
21,Hombre,3,14,La molina,Metropolitano,100,7,2.25,15,7,20,3,20,15,3.5,2,8.62,17.5,2.75
18,Hombre,2,17.34,Santiago de Surco,Carro propio,30,6,3,15,5,16,2,24,17,4,2,9,20.5,3
18,Hombre,3,13.870000000000003,Los Olivos,Metropolitano,90,7,1.25,1.25,5,19,7,35,25,2.5,2,1.25,30,2.25
18,Mujer,3,16.07,La molina,Carro propio,50,5,0,0,6,19,0,0,0,2,1,0,0,1.5
