Sexo,Edad,Carrera,Ciclo,Comodidad,Herramienta,GastoMaxD,GastoMaxT,TiempoD,TiempoT,HerramientasD,HerramientasT,AprendizajeD,AprendizajeT,Importancia
Masculino,18,Ing. Mecatrónica,3,Digital,Laptop,1700,20,6,1,2,2,4,3,Indeciso
Masculino,19,Ing. Civil,4,Digital,Tablet,3000,100,6,1,3,2,5,3,En desacuerdo
Femenino,19,Ing. Civil,4,Digital,Tablet,3700,25,7.5,1.5,2,2,5,4,Indeciso
Masculino,21,Ing. Civil,4,Tradicional,Cuaderno,0,24,1.5,2,2,2,4,4,De acuerdo
Femenino,19,Ing. Industrial,4,Tradicional,Cuaderno,4000,40,2,2,2,2,4,5,Totalmente de acuerdo
Masculino,21,Ing. Civil,4,Digital,Laptop,300,50,2,2,3,2,5,5,Indeciso
Masculino,18,Ing. Mecatrónica,3,Tradicional,Cuaderno,3500,90,4,2,2,2,5,4,De acuerdo
Masculino,17,Ing. Civil,3,Digital,Laptop,2000,40,6,2,2,2,4,4,De acuerdo
Masculino,18,Ing. Industrial,3,Digital,Laptop,3000,100,7,2,1,2,5,5,En desacuerdo
Masculino,21,Ciencias de Datos,4,Digital,Laptop,1500,40,8,2,3,2,5,4,Indeciso
Masculino,20,Ing. Electrónica,3,Tradicional,Bloc de Notas,1200,50,4.5,2.5,2,2,3,4,De acuerdo
Femenino,20,Ciencias de la Computación,4,Tradicional,Laptop,2345,23,8.75,2.58,1,2,4,4,Indeciso
Masculino,20,Ing. Mecatrónica,4,Tradicional,Cuaderno,5000,50,1,3,3,2,4,5,Totalmente de acuerdo
Femenino,19,Ing. Civil,4,Tradicional,Laptop,3100,30,2.5,3,3,2,4,5,Indeciso
Femenino,19,Ing. Ambiental,3,Digital,Laptop,3600,26,5,3,2,2,5,5,De acuerdo
Femenino,19,Ing. Ambiental,4,Tradicional,Cuaderno,2300,16,5.5,3,2,2,3,4,Indeciso
Masculino,19,Ciencias de la Computación,4,Tradicional,Laptop,3400,11,7,3,2,2,4,4,Totalmente en desacuerdo
Masculino,18,Ciencias de la Computación,3,Tradicional,Laptop,1000,40,8,3,1,2,3,4,Indeciso
Masculino,19,Ing. Civil,4,Tradicional,Cuaderno,0,20,10,3,2,2,5,5,Indeciso
Femenino,20,Ing. de la Energía,3,Tradicional,Cuaderno,3000,20,12,3,2,2,2,5,En desacuerdo
Masculino,18,Ing. Industrial,3,Digital,Bloc de Notas,1900,30,5.5,3.33,1,2,4,4,Indeciso
Femenino,18,Ing. Industrial,3,Digital,Laptop,5000,20,6.5,3.37,3,2,5,5,Totalmente de acuerdo
Masculino,18,Ing. Mecatrónica,3,Digital,Bloc de Notas,1400,35,4.5,3.5,2,2,4,4,De acuerdo
Femenino,18,Ciencias de Datos,3,Tradicional,Cuaderno,4200,20,6.5,3.67,2,2,3,5,De acuerdo
Masculino,24,Ing. Civil,4,Tradicional,Celular,2578,167,4.72,3.98,2,2,3,3,De acuerdo
Masculino,18,Ing. Electrónica,3,Tradicional,Cuaderno,2500,3,1,4,1,2,3,4,En desacuerdo
Femenino,20,Ing. Civil,4,Tradicional,Cuaderno,0,50,2,4,1,2,3,5,Totalmente de acuerdo
Femenino,19,Ciencias de la Computación,4,Tradicional,Cuaderno,1300,50,5.5,4,2,2,4,4,De acuerdo
Femenino,19,Bioingeniería,4,Tradicional,Cuaderno,6500,60,6,4,1,2,5,5,Indeciso
