CODIGO ESTACION,ESTACION,ANO,MES,DIA,HORA,PM10,PM2.5,SO2,NO2,O3,CO
112192,ATE,2015,11,27,20,49.26,15.5,3.5,14.1,5.9,1857.7
112192,ATE,2015,11,27,21,55.43,16.1,3.6,12.3,5.5,1958.9
112192,ATE,2015,11,27,22,66.76,16.2,2.9,13.3,5.7,2037.3
112192,ATE,2015,11,27,23,53.05,17.1,3,12.3,5.6,1945.1
112192,ATE,2015,11,28,0,42.05,19.3,1.5,4.5,5.3,1678.9
112192,ATE,2015,11,28,1,33.52,17.9,1.4,5.4,5.5,1773.5
112192,ATE,2015,11,28,2,34.21,22.1,3.2,3.2,5.3,1687.5
112192,ATE,2015,11,28,3,33.41,22.8,2.8,3.8,5.4,1664.2
112192,ATE,2015,11,28,4,29.59,21.8,2.5,3.6,5.4,1633.5
112192,ATE,2015,11,28,5,23.34,16.5,1.4,6.1,5.3,1421.3
112192,ATE,2015,11,28,6,17.09,9.7,2,9.8,5,1494.5
112192,ATE,2015,11,28,7,21.49,14.3,0.7,12.5,6,1566
112192,ATE,2015,11,28,8,22.76,17.5,2.1,13.9,7.9,1715.3
112192,ATE,2015,11,28,9,30.33,19,1.9,15.7,7,1835.2
112192,ATE,2015,11,28,10,39.27,19.4,2.5,21.4,9.4,1771
112192,ATE,2015,11,28,11,61.28,24.5,2.5,29.8,10.2,1988.6
112192,ATE,2015,11,28,12,83.88,23.9,2.6,42.8,18.3,1988.3
112192,ATE,2015,11,28,13,115.49,31.3,2.6,62.7,27,2131.8
112192,ATE,2015,11,28,14,141.58,52.1,4.3,64.3,38,2034.5
112192,ATE,2015,11,28,15,105.24,40.9,3,51.4,47.8,1867.1
112192,ATE,2015,11,28,16,106.29,29,3.7,37.2,45.4,1715
112192,ATE,2015,11,28,17,118.52,32.8,4.4,36.5,29.7,1701.9
112192,ATE,2015,11,28,18,116.26,29.8,5.5,35.6,14.6,1710
112192,ATE,2015,11,28,19,118.25,33,9.9,31.9,7.6,1832.4
112192,ATE,2015,11,28,20,134.66,32.1,8.6,32.5,5.5,2060.3
112192,ATE,2015,11,28,21,154.51,42.6,10.4,32,5.8,2176.1
112192,ATE,2015,11,28,22,118.6,36.2,6.1,22.9,5.1,1952.9
112192,ATE,2015,11,28,23,112.55,31.3,4.9,17.8,5.5,1872.9
112192,ATE,2015,11,29,0,152.56,36.8,4.8,20.2,5.3,2044.8
112192,ATE,2015,11,29,1,118.23,41.9,5.5,13.5,4.1,1838.6
112192,ATE,2015,11,29,2,82.34,44.4,3.2,11.3,4.7,1642.2
112192,ATE,2015,11,29,3,47.1,34.7,2.6,10.4,4.6,1628.5
112192,ATE,2015,11,29,4,35.82,31.6,1.7,9.9,4.1,1548.8
112192,ATE,2015,11,29,5,28.83,21.7,1.9,8.7,4.7,1470.4
112192,ATE,2015,11,29,6,25.33,16.8,1.5,5.7,9.2,1405.9
112192,ATE,2015,11,29,7,21.84,11.8,1.8,11.6,6.8,1667.3
112192,ATE,2015,11,29,8,46.43,18.8,0.4,17.1,7.1,1813.5
112192,ATE,2015,11,29,9,49.76,15.5,3,15.5,9.6,1643
112192,ATE,2015,11,29,10,67.74,21.7,3,16.5,12.5,1652.5
112192,ATE,2015,11,29,11,74.81,22.3,2.9,23,18.5,1816
112192,ATE,2015,11,29,12,72.96,44.2,2.8,22.3,26.2,1705.3
112192,ATE,2015,11,29,13,76.19,35.7,2.8,20.8,33.2,1688.9
112192,ATE,2015,11,29,14,86.07,25.7,2.8,19.7,54,1621.7
112192,ATE,2015,11,29,15,83.28,24.7,4,16.3,58.9,1528.7
112192,ATE,2015,11,29,16,74.06,18.9,5.6,8.8,51.1,1441.6
112192,ATE,2015,11,29,17,67.13,21.5,3.3,6.3,34.3,1416.3
112192,ATE,2015,11,29,18,69.03,25.8,1.6,10.5,21.4,1517.4
112192,ATE,2015,11,29,19,84.03,30.6,5.9,23.3,8.5,1720.6
112192,ATE,2015,11,29,20,86.74,35.7,5.3,21.4,6.7,1768.5
112192,ATE,2015,11,29,21,80.05,32.8,1.3,18.1,5.8,1996.1
112192,ATE,2015,11,29,22,86.66,17.5,3.3,12.8,5.6,1856.8
112192,ATE,2015,11,29,23,88.68,19,7.1,16.7,6.1,1865
112192,ATE,2015,11,30,0,85.14,21.3,6,13.9,5.7,1639.6
112192,ATE,2015,11,30,1,82.82,45.5,6.6,12.9,5.6,1639.4
112192,ATE,2015,11,30,2,70.99,38.7,5.6,8.9,5.1,1515.4
112192,ATE,2015,11,30,3,46.53,24.3,7.3,1.1,7.1,1282.5
112192,ATE,2015,11,30,4,77.17,24.8,8.2,3,6,1357
112192,ATE,2015,11,30,5,86.84,37.4,8.6,3,5,1369.9
112192,ATE,2015,11,30,6,141.03,59.6,9.1,11.7,5.6,1644.7
112192,ATE,2015,11,30,7,166.25,84.2,8.8,13.4,5.9,1793
112192,ATE,2015,11,30,8,194.53,72.9,10.2,20.8,9.1,1901.3
112192,ATE,2015,11,30,9,309.14,103.1,25.9,50.9,19.5,2071.4
112192,ATE,2015,11,30,10,223.08,105.7,32.7,57.3,24.5,2323.8
112192,ATE,2015,11,30,11,96.45,52.7,10,39.7,34.4,1888.2
112192,ATE,2015,11,30,12,88.25,35,7,36.1,42.7,1735.7
112192,ATE,2015,11,30,13,81.18,23.2,2.6,26.8,48.3,1628.3
112192,ATE,2015,11,30,14,72.04,22.4,3.4,16.9,52.4,1573.1
112192,ATE,2015,11,30,15,68.05,18.2,3.5,13.5,54.8,1491.4
112192,ATE,2015,11,30,16,71.54,16.6,3.5,18.8,33.9,1517.3
112192,ATE,2015,11,30,17,108.95,17.8,3.5,30.6,22.9,1691.8
112192,ATE,2015,11,30,18,120.72,25.4,3.5,33,10.3,1800.6
112192,ATE,2015,11,30,19,131.36,33.6,5.8,26.3,6,1773.2
112192,ATE,2015,11,30,20,130.72,27.9,5.2,22,5.8,1920.4
