"","Edad","Carrera","Ciclo","DProcedencia","CAVerdes","CADiscapacidad","CALugarCentrico","CAMasLugaresEstudio","CADeportivas","Escala","CEconomica","GDiarioTransporte","CantTransportes","TVivienda","DSede","DResidencia"
"116",20,"Ing. Civil",2,"Lima Metropolitana o Callao",5,5,3,5,5,"E","Becado (beca 18, beca utec, etc.)",3,2,"Casa propia","san isidro","comas"
"117",18,"Bioingeniería",2,"Provincia",5,5,5,5,5,"D","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)","san isidro","santiago de surco"
"118",18,"Ing. Electrónica",4,"Provincia",3,3,3,3,3,"E","Becado (beca 18, beca utec, etc.)",20,1,"Alquilado (compartido)","chorrillos","chorrillos"
"119",20,"Ing. Electrónica",4,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Con credito (ayuda financiera de UTEC)",3,3,"Casa propia","san isidro","jesús maría"
"120",20,"Ing. Mecatrónica",3,"Lima Metropolitana o Callao",5,3,5,5,4,"E","Becado (beca 18, beca utec, etc.)",15,3,"Casa propia","san isidro","lurigancho"
"121",19,"Bioingeniería",2,"Provincia",5,5,5,4,4,"D","Becado (beca 18, beca utec, etc.)",1.5,1,"Alquilado (solo)","pueblo libre","miraflores"
"122",19,"Ing. Civil",5,"Provincia",4,5,4,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (compartido)","miraflores","barranco"
"123",21,"Ing. Ambiental",4,"Lima Metropolitana o Callao",5,4,4,5,4,"E","Becado (beca 18, beca utec, etc.)",6,2,"Casa propia","pueblo libre","carabayllo"
"124",22,"Ing. Civil",5,"Provincia",5,3,4,4,3,"D","Regular (sin apoyo alguno)",5,2,"Alquilado (solo)","san isidro","breña"
"125",19,"Ing. Ambiental",6,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Becado (beca 18, beca utec, etc.)",10,3,"Casa propia","san borja","san juan de lurigancho"
"126",19,"Ing. Mecánica",4,"Lima Metropolitana o Callao",3,5,3,5,5,"C","Regular (sin apoyo alguno)",0,0,"Casa propia","jesús maría","miraflores"
"127",20,"Ciencias de la computación",3,"Lima Metropolitana o Callao",4,5,4,5,4,"E","Regular (sin apoyo alguno)",7,1,"Alquilado (compartido)","barranco","san martin de porres"
"128",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",4,5,5,5,5,"D","Regular (sin apoyo alguno)",2,1,"departamento","san isidro","santiago de surco"
"129",19,"Ciencias de la computación",3,"Lima Metropolitana o Callao",5,5,3,5,3,"B","Regular (sin apoyo alguno)",3,1,"Casa propia","san borja","surquillo"
"130",20,"Ing. Mecatrónica",5,"Lima Metropolitana o Callao",3,3,2,3,4,"E","Con credito (ayuda financiera de UTEC)",10,3,"Casa propia","santa anita","santa anita"
"131",21,"Ing. Química",7,"Lima Metropolitana o Callao",4,4,5,5,3,"D","Regular (sin apoyo alguno)",5,2,"Alquilado (solo)","san borja","san juan de lurigancho"
"132",18,"Ing. Civil",2,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)","san isidro","surquillo"
"133",23,"Ing. Electrónica",7,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Regular (sin apoyo alguno)",7,2,"Casa propia","ate","santa anita"
"134",18,"Ing. Química",2,"Lima Metropolitana o Callao",3,2,4,5,5,"C","Regular (sin apoyo alguno)",2,1,"Casa propia","san borja","villa maria del triunfo"
"135",18,"Ing. Química",2,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",10,2,"Alquilado (solo)","pueblo libre","san miguel"
"136",20,"Ciencias de datos",5,"Lima Metropolitana o Callao",3,4,5,4,5,"E","Regular (sin apoyo alguno)",10,3,"Casa propia","san isidro","san isidro"
"137",16,"Ing. Mecatrónica",1,"Provincia",5,5,3,5,5,"E","Regular (sin apoyo alguno)",50,2,"Alquilado (compartido)","san isidro","jesús maría"
"138",19,"Ing. Mecánica",5,"Lima Metropolitana o Callao",4,3,2,4,5,"E","Regular (sin apoyo alguno)",5,2,"Casa propia","san borja","ate"
"139",21,"Ciencias de la computación",6,"Lima Metropolitana o Callao",2,4,3,3,4,"D","Regular (sin apoyo alguno)",10,1,"Casa propia","chorrillos","villa el salvador"
"140",19,"Ing. Mecánica",5,"Provincia",3,3,3,3,3,"D","Regular (sin apoyo alguno)",2,1,"Casa propia","san isidro","miraflores"
"141",23,"Ing. Mecánica",5,"Provincia",5,5,5,5,5,"D","Regular (sin apoyo alguno)",12,1,"Alquilado (compartido)","san borja","santiago de surco"
"142",18,"Ing. Industrial",1,"Lima Metropolitana o Callao",5,5,5,5,5,"D","Regular (sin apoyo alguno)",8,3,"Casa propia","surco","santiago de surco"
"143",18,"Ing. Mecatrónica",3,"Lima Metropolitana o Callao",5,5,5,5,4,"D","Regular (sin apoyo alguno)",3,1,"Casa propia","san isidro","chorrillos"
"144",19,"Administración y negocios digitales",5,"Lima Metropolitana o Callao",5,4,5,5,3,"E","Con credito (ayuda financiera de UTEC)",5,1,"Casa propia","pueblo libre","santiago de surco"
"145",20,"Administración y negocios digitales",5,"Lima Metropolitana o Callao",4,4,5,5,5,"D","Con credito (ayuda financiera de UTEC)",2,1,"Casa propia","jesús maría","miraflores"
"146",20,"Ing. Civil",4,"Lima Metropolitana o Callao",5,5,3,4,4,"C","Becado (beca 18, beca utec, etc.)",6,2,"Casa propia","san isidro","santa anita"
"147",18,"Ing. Civil",4,"Lima Metropolitana o Callao",3,3,4,4,4,"E","Becado (beca 18, beca utec, etc.)",7.5,2,"Casa propia","san isidro","independencia"
"148",20,"Ing. Ambiental",5,"Lima Metropolitana o Callao",5,5,5,5,3,"E","Regular (sin apoyo alguno)",6,2,"Casa propia","san borja","santa anita"
"149",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",3,4,4,4,1,"D","Regular (sin apoyo alguno)",30,1,"Casa propia","pueblo libre","pueblo libre"
"150",17,"Ciencias de la computación",2,"Lima Metropolitana o Callao",5,3,3,4,5,"B","Regular (sin apoyo alguno)",5,2,"Casa propia","surco","santiago de surco"
