Ciclo,Ciencia de la computación,Ingeniería Industrial,Ingeniería Mecánica,Ingeniería Mecatrónica,Ingeniería Ambiental,Bioingeniería,Ingeniería de la Energía,Ingeniería Electrónica,Ingeniería Química,Ingeniería Civil,Administración y Negocios Digitales,Ciencia de Datos,Total
2021-2,430,629,297,489,230,362,133,216,173,451,44,21,3475
2021-1,447,483,325,480,161,337,139,217,172,266,45,24,3096
2020-2,339,450,316,375,140,255,145,202,145,201,0,0,2568
2020-1,351,455,323,382,132,260,140,191,157,148,0,0,2539
2019-2,271,462,320,283,107,208,135,193,151,111,0,0,2241
2019-1,276,473,250,295,104,206,137,198,170,99,0,0,2208
