Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brunei Darussalam,,,2,2,2,1,2,2,2,3,3,2,3,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,,,,,2,1,2,,,3,2,,,1,1,1,1,,1,1,1,1,2,2,2,1,1,2,1,2,1,1,
Bhután,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,1,1,,,,,,4,10,10,8,7,10,8,7,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,3,4,2,2,2,2,1,1,1,1,3,2,2,1,1,
República Centroafricana,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,2,1,1,1,2,,,,,,,,,,,,,1,3,2,1,2,3,3,4,3,3,4,2,2,12,17,2,2,1,2,1,1,1,0,1,1,0,,
Canadá,,,5,5,5,5,5,4,4,4,4,4,3,3,4,3,3,3,3,3,5,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Europa Central y del Báltico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,3,3,3,3,3,3,
Suiza,,,4,4,4,4,5,4,4,4,5,4,4,3,4,5,4,4,3,4,7,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4,6,6,4,4,4,3,5,4,4,4,4,4,3,2,2,2,2,2,2,2,2
Islas del Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,2,2,2,3,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,,,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,
China,,,,,,,,,,,,,,,,,,,,,,,,,6,4,2,3,,,,,5,4,3,4,5,5,5,5,6,6,5,6,8,9,9,12,13,14,14,15,13,13,12,10,9,11,11,11,
Côte d'Ivoire,,,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,,2,2,2,,2,,,,,,,,,,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Camerún,,,1,1,2,2,3,3,2,1,2,1,1,1,1,1,1,1,1,2,1,,2,,,,1,1,,,4,,,,,6,4,4,4,4,4,4,3,3,4,3,3,5,3,3,2,3,2,2,2,2,2,2,,,
"Congo, República Democrática del",,,1,,,1,,,,,1,,1,1,1,1,1,2,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, República del",,,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,2,,,2,1,1,1,,,,,,,2,1,1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,
