"","Edad","Género","Carrera","Ciclo","Litros_por_dia","Litros_clase","Sed_clase","Agua_clase","Gaseosas_clase","Bebidas_energeticas_clase","Infusiones_clase","Cansado_tipo_liquido","Liquido_mejora_rendimiento","Rendimiento_hidratado","Concentracion_clase","Memoria","Deshidratacion_efectos","Salud_fisica","Migrañas","Fatiga","Salud_mental","Ansiedad","Estres","CF_no_ingesta_liquido","Peso","Estatura","Horas_en_universidad","Cantidad_cursos","Agua","Bebidas energizantes","Gaseosas","Infusiones","Otro","Refrescos o jugos"
"89",19,"Femenino","Bioingeniería","Cuarto",1,0.3,"Ni mucha ni poca","A veces","Casi nunca","Casi siempre","Nunca","Bebidas energizantes","Bebidas energizantes","Tal vez","Casi siempre","Ni buena ni mala","Tal vez","Saludable","Nunca","Nunca","Buena","No","Sí","A veces",48,1.58,22,4,"Sí","Sí","No","No","No","Sí"
"90",18,"Masculino","Ingeniería mecatrónica","Tercero",2,1,"Ni mucha ni poca","A veces","A veces","Casi nunca","Nunca","Refrescos o jugos","Bebidas energizantes","No","Siempre","Buena","No","Saludable","Nunca","Nunca","Muy buena","No","No","No",80,1.8,12,4,"Sí","No","No","No","No","Sí"
"91",21,"Masculino","Ingeniería de la energía","Sexto",3,1,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","No","Siempre","Ni buena ni mala","Si","Saludable","Nunca","Nunca","Muy buena","No","No","No",80,1.75,21,5,"Sí","No","No","No","No","No"
"92",20,"Femenino","Ingeniería industrial","Cuarto",3,3,"Demasiada","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Ni buena ni mala","Si","Saludable","Nunca","Nunca","Ni buena ni mala","Sí","Sí","Si",55,1.55,8,4,"Sí","No","No","No","No","No"
"93",21,"Masculino","Ingeniería industrial","Séptimo",1,1,"Ni mucha ni poca","Casi nunca","Casi nunca","Nunca","Nunca","Infusiones","Agua","Sí","A veces","Mala","Si","Medianamente saludable","Nunca","Casi siempre","Muy mala","No","Sí","Si",66,1.67,38,5,"Sí","No","No","Sí","No","Sí"
"94",19,"Masculino","Ingeniería industrial","Segundo",3,0.5,"Mucha","A veces","Nunca","Casi siempre","Nunca","Bebidas energizantes","Refrescos o jugos","Sí","Casi siempre","Buena","Si","Medianamente saludable","Nunca","Nunca","Buena","No","No","Si",53.4,1.68,13,7,"Sí","Sí","No","No","No","No"
"95",17,"Femenino","Ingeniería industrial","Segundo",1,0.5,"Mucha","A veces","Nunca","Nunca","Nunca","Refrescos o jugos","Refrescos o jugos","No","Casi siempre","Buena","Si","Saludable","A veces","A veces","Ni buena ni mala","Sí","Sí","Si",55,1.56,30,7,"Sí","No","No","No","No","Sí"
"96",18,"Masculino","Ingeniería civil","Segundo",3,1,"Ni mucha ni poca","A veces","Nunca","Casi nunca","Nunca","Agua","Agua","Sí","Siempre","Muy buena","Si","Muy saludable","A veces","Casi nunca","Muy buena","Sí","Sí","Si",70,1.73,10,7,"Sí","No","No","No","No","No"
"97",18,"Femenino","Ingeniería mecánica","Tercero",2,0.5,"Ni mucha ni poca","A veces","Casi nunca","Casi nunca","Nunca","Agua","Agua","Sí","A veces","Ni buena ni mala","Si","Medianamente saludable","A veces","A veces","Ni buena ni mala","Sí","Sí","Si",72,1.6,10,3,"Sí","No","Sí","No","No","Sí"
"98",20,"Masculino","Ingeniería civil","Segundo",3,0.5,"Ni mucha ni poca","A veces","Nunca","Casi nunca","Casi nunca","Agua","Agua","No","Casi siempre","Ni buena ni mala","Si","Saludable","Nunca","Nunca","Buena","No","Sí","No",65,1.73,30,6,"Sí","No","No","No","No","No"
