"","Edad","Género","Carrera","Ciclo","Litros_por_dia","Litros_clase","Sed_clase","Agua_clase","Gaseosas_clase","Bebidas_energeticas_clase","Infusiones_clase","Cansado_tipo_liquido","Liquido_mejora_rendimiento","Rendimiento_hidratado","Concentracion_clase","Memoria","Deshidratacion_efectos","Salud_fisica","Migrañas","Fatiga","Salud_mental","Ansiedad","Estres","CF_no_ingesta_liquido","Peso","Estatura","Horas_en_universidad","Cantidad_cursos","Agua","Bebidas energizantes","Gaseosas","Infusiones","Otro","Refrescos o jugos"
"142",18,"Masculino","Ciencia de la computación","Segundo",3,0.1,"Muy poca","Nunca","Nunca","Nunca","Nunca","Agua","Refrescos o jugos","Sí","Casi siempre","Buena","Si","Medianamente saludable","Nunca","A veces","Ni buena ni mala","Sí","Sí","A veces",72,1.72,25,5,"Sí","No","No","No","No","Sí"
"143",20,"Masculino","Ingeniería industrial","Cuarto",2,1.5,"Demasiada","Siempre","Nunca","Nunca","Casi nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Saludable","A veces","Nunca","Buena","Sí","Sí","Si",66,1.73,35,6,"Sí","No","No","No","No","No"
"144",19,"Femenino","Ingeniería industrial","Cuarto",2.5,2.5,"Mucha","Siempre","Casi nunca","Nunca","Casi nunca","Agua","Agua","Tal vez","Casi siempre","Buena","Tal vez","Saludable","A veces","A veces","Muy buena","No","No","A veces",81,1.67,22,6,"Sí","No","Sí","No","No","No"
"145",19,"Masculino","Ingeniería industrial","Cuarto",1,1,"Muy poca","A veces","Nunca","Nunca","Casi nunca","Agua","Refrescos o jugos","Sí","Siempre","Muy buena","Si","Saludable","A veces","Casi siempre","Muy buena","No","No","Si",81,1.71,12,6,"Sí","No","No","Sí","No","No"
"146",21,"Femenino","Ingeniería industrial","Séptimo",2,2,"Ni mucha ni poca","Casi siempre","Casi nunca","A veces","Nunca","Bebidas energizantes","Bebidas energizantes","Tal vez","A veces","Ni buena ni mala","Tal vez","Medianamente saludable","A veces","A veces","Ni buena ni mala","Sí","Sí","A veces",72,1.61,50,4,"Sí","No","No","No","No","No"
"147",18,"Femenino","Ingeniería mecánica","Segundo",2,1,"Mucha","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Mala","Si","Medianamente saludable","Nunca","Nunca","Ni buena ni mala","No","No","No",60,1.6,40,6,"Sí","No","No","No","No","No"
"148",17,"Masculino","Bioingeniería","Tercero",1,0.1,"Muy poca","Nunca","Nunca","Nunca","Nunca","Refrescos o jugos","Refrescos o jugos","Tal vez","Casi siempre","Mala","Si","Medianamente saludable","Nunca","Casi nunca","Mala","No","No","No",55,1.75,18,6,"Sí","No","No","No","No","Sí"
"149",18,"Femenino","Bioingeniería","Tercero",3,2,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","A veces","Agua","Agua","No","Casi siempre","Buena","Si","Saludable","Casi nunca","Casi nunca","Buena","No","No","A veces",54,1.65,20,6,"Sí","No","No","Sí","No","No"
"150",19,"Masculino","Ingeniería mecatrónica","Tercero",2.5,1.5,"Mucha","Siempre","Nunca","Casi nunca","Nunca","Agua","Agua","Tal vez","Casi siempre","Ni buena ni mala","Si","Muy saludable","Nunca","A veces","Muy buena","Sí","No","A veces",60,1.75,18,5,"Sí","No","No","No","No","Sí"
"151",18,"Femenino","Ingeniería industrial","Segundo",4,1,"Mucha","Casi siempre","Casi nunca","Casi nunca","Casi nunca","Infusiones","Agua","Tal vez","A veces","Ni buena ni mala","Tal vez","Medianamente saludable","Siempre","A veces","Buena","Sí","Sí","A veces",60,1.56,35,6,"Sí","No","No","No","No","Sí"
"152",18,"Femenino","Bioingeniería","Tercero",2,0.5,"Poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Muy buena","Tal vez","Saludable","Nunca","Casi nunca","Ni buena ni mala","No","No","A veces",59,1.64,50,5,"Sí","No","No","No","No","Sí"
"153",19,"Femenino","Ingeniería industrial","Cuarto",3,2,"Ni mucha ni poca","Casi siempre","Casi nunca","A veces","A veces","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Saludable","Casi nunca","Casi nunca","Ni buena ni mala","No","Sí","A veces",49,1.55,23,6,"Sí","Sí","Sí","Sí","No","No"
"154",19,"Femenino","Ingeniería ambiental","Cuarto",3,1.5,"Poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Tal vez","Casi siempre","Ni buena ni mala","Si","Medianamente saludable","A veces","A veces","Ni buena ni mala","No","Sí","A veces",54,1.56,22,5,"Sí","No","No","No","No","No"
"155",18,"Femenino","Administración y negocios digitales","Segundo",2,1,"Mucha","Siempre","Nunca","Nunca","A veces","Agua","Infusiones","No","A veces","Ni buena ni mala","No","Saludable","Siempre","Casi siempre","Muy buena","Sí","Sí","Si",62,1.67,26,6,"Sí","No","No","No","No","No"
"156",20,"Masculino","Ingeniería mecánica","Cuarto",4,1.5,"Ni mucha ni poca","A veces","Nunca","Casi nunca","Casi nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Medianamente saludable","Nunca","Nunca","Ni buena ni mala","Sí","Sí","Si",89,1.68,6,3,"Sí","No","No","No","No","Sí"
"157",24,"Masculino","Ciencia de la computación","Tercero",3,0.5,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Nunca","Infusiones","Infusiones","Sí","Casi siempre","Ni buena ni mala","Si","Poco saludable","Nunca","Casi siempre","Ni buena ni mala","Sí","Sí","Si",86,1.72,42,6,"Sí","No","Sí","No","No","Sí"
"158",19,"Femenino","Ingeniería industrial","Segundo",0.5,0.5,"Poca","A veces","Casi siempre","Nunca","Nunca","Gaseosas","Agua","Sí","A veces","Ni buena ni mala","Si","Poco saludable","Casi siempre","Siempre","Muy mala","Sí","Sí","A veces",65,1.63,57,6,"No","No","Sí","No","No","No"
"159",18,"Femenino","Bioingeniería","Segundo",2,2,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","A veces","Agua","Agua","Sí","A veces","Buena","Si","Saludable","Casi nunca","Casi siempre","Ni buena ni mala","Sí","Sí","Si",60,1.55,24,7,"Sí","No","No","No","Sí","No"
"160",20,"Femenino","Ingeniería civil","Quinto",3,3,"Ni mucha ni poca","Casi siempre","Nunca","Casi nunca","A veces","Agua","Agua","Sí","Casi siempre","Muy buena","Si","Saludable","Nunca","Casi nunca","Ni buena ni mala","No","Sí","No",50,1.59,19,6,"Sí","No","No","No","No","No"
"161",18,"Masculino","Ingeniería civil","Cuarto",5,5,"Ni mucha ni poca","Casi siempre","Casi siempre","Casi siempre","A veces","Bebidas energizantes","Refrescos o jugos","No","Casi siempre","Ni buena ni mala","No","Medianamente saludable","A veces","A veces","Ni buena ni mala","Sí","Sí","No",69,1.67,21,6,"No","Sí","No","No","No","No"
"162",20,"Masculino","Ingeniería civil","Cuarto",3,1,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","No","Siempre","Muy buena","No","Medianamente saludable","Nunca","Casi nunca","Muy buena","No","No","Si",78,1.67,40,5,"Sí","No","No","No","No","Sí"
"163",17,"Masculino","Ingeniería civil","Primero",2.5,1.5,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Nunca","Refrescos o jugos","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Muy saludable","Nunca","A veces","Ni buena ni mala","No","Sí","Si",65,1.69,22,6,"Sí","No","No","No","No","Sí"
"164",21,"Femenino","Ingeniería ambiental","Segundo",1,1,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","No","Casi siempre","Buena","Si","Medianamente saludable","Casi siempre","A veces","Ni buena ni mala","No","No","Si",48,1.5,30,6,"Sí","No","No","No","No","No"
"165",18,"Femenino","Ingeniería industrial","Segundo",2,0.2,"Poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Ni buena ni mala","Si","Poco saludable","Nunca","Casi nunca","Mala","No","Sí","No",51,1.56,30,6,"Sí","No","No","No","No","Sí"
"166",24,"Masculino","Ingeniería mecánica","Segundo",3,3,"Demasiada","Siempre","Siempre","Siempre","Siempre","Agua","Agua","Sí","Siempre","Muy buena","Si","Muy saludable","Nunca","Nunca","Muy mala","No","No","No",69,1.68,12,5,"Sí","No","No","No","No","Sí"
"167",18,"Masculino","Ingeniería industrial","Tercero",3,2,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Siempre","Muy buena","Si","Saludable","Nunca","Casi nunca","Buena","No","No","Si",80,1.8,20,6,"Sí","No","Sí","Sí","No","No"
"168",19,"Masculino","Ingeniería industrial","Cuarto",3,3,"Demasiada","Siempre","Siempre","Siempre","Siempre","Otro","Agua","Sí","Siempre","Muy buena","Si","Muy saludable","Siempre","Siempre","Muy buena","No","No","No",70,1.75,21,4,"Sí","No","No","No","No","No"
"169",17,"Femenino","Ingeniería industrial","Segundo",3,3,"Demasiada","Siempre","Siempre","Siempre","Siempre","Agua","Refrescos o jugos","Tal vez","Siempre","Ni buena ni mala","Tal vez","Muy saludable","Siempre","Siempre","Muy buena","Sí","Sí","No",50,1.58,10,6,"Sí","No","Sí","No","No","No"
"170",21,"Masculino","Bioingeniería","Cuarto",2,1,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Saludable","Casi nunca","A veces","Ni buena ni mala","Sí","Sí","Si",68,1.75,16,5,"Sí","No","No","No","No","No"
"171",20,"Masculino","Ingeniería mecatrónica","Cuarto",0.5,0.5,"Poca","Nunca","Nunca","Nunca","Nunca","Bebidas energizantes","Otro","Tal vez","Siempre","Buena","Tal vez","Saludable","Nunca","Nunca","Buena","No","No","No",72,1.73,15,6,"Sí","Sí","Sí","No","No","No"
"172",18,"Masculino","Ingeniería mecatrónica","Tercero",3,2,"Poca","Casi nunca","Nunca","Casi siempre","Nunca","Agua","Agua","Tal vez","Casi siempre","Ni buena ni mala","Si","Saludable","Casi nunca","Casi nunca","Ni buena ni mala","No","No","A veces",68,1.75,23,6,"Sí","Sí","No","No","No","No"
"173",18,"Masculino","Ingeniería mecatrónica","Tercero",3,2,"Demasiada","Siempre","Siempre","Siempre","Nunca","Bebidas energizantes","Bebidas energizantes","Sí","A veces","Ni buena ni mala","Si","Medianamente saludable","Casi siempre","Siempre","Mala","Sí","Sí","Si",68,1.74,20,6,"Sí","Sí","Sí","No","No","Sí"
"174",20,"Femenino","Ingeniería electrónica","Quinto",4,1,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Nunca","Gaseosas","Agua","Sí","A veces","Mala","Si","Muy saludable","Nunca","A veces","Ni buena ni mala","Sí","Sí","No",58,1.64,16,4,"Sí","No","No","No","No","Sí"
"175",17,"Masculino","Ciencia de datos","Primero",1,0.5,"Poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Tal vez","A veces","Ni buena ni mala","Tal vez","Saludable","Nunca","Casi siempre","Mala","No","Sí","Si",65,1.76,20,6,"Sí","No","No","No","No","Sí"
"176",17,"Otro","Ciencia de datos","Primero",2,1,"Mucha","Siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Medianamente saludable","Casi nunca","Casi siempre","Mala","No","No","Si",48,1.55,35,6,"Sí","No","No","No","No","No"
"177",17,"Femenino","Ciencia de datos","Primero",2,0.5,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","Sí","Siempre","Buena","Si","Saludable","Casi nunca","Siempre","Buena","No","No","Si",50,1.57,21,6,"Sí","No","No","Sí","No","No"
"178",19,"Femenino","Ingeniería mecatrónica","Quinto",2.5,1,"Ni mucha ni poca","A veces","Casi nunca","Nunca","Casi nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Medianamente saludable","Nunca","Casi nunca","Muy buena","No","No","Si",75,1.7,24,6,"Sí","No","No","Sí","No","Sí"
"179",16,"Masculino","Ciencia de datos","Primero",2,0.5,"Muy poca","Casi nunca","Nunca","Nunca","Casi nunca","Agua","Agua","Sí","A veces","Mala","Si","Medianamente saludable","Nunca","Casi siempre","Mala","Sí","Sí","A veces",52,1.73,35,6,"Sí","No","No","No","No","Sí"
"180",17,"Masculino","Ciencia de datos","Primero",1,0.5,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Refrescos o jugos","Agua","No","Casi siempre","Ni buena ni mala","Tal vez","Medianamente saludable","Casi nunca","Casi nunca","Buena","No","No","No",75,1.72,23,6,"Sí","No","Sí","No","No","Sí"
