Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
871491,Cuadros y horquillas; y sus partes; para los ciclos; ncop (exc. ??para motocicletas),1,4,16,53,514,232,85,63,86,174,132,121,63,56,66,104,180,135,102,176
821110,Juegos de distintos cuchillos de la partida 8211; juegos en que los cuchillos de la partida ...,30,36,22,35,76,126,149,57,92,67,402,175,40,34,106,56,94,109,70,176
845969,Máquinas de fresar para metal; de control no numérico (exc. unidades de mecanizado de corredera; ...,47,22,184,8,30,71,1195,645,9,67,37,17,14,23,67,149,698,349,356,175
680800,Paneles; placas; losetas; bloques y artículos similares; de fibra vegetal; paja o viruta; de ...,31,82,23,22,49,191,179,94,189,206,115,208,234,107,118,126,222,211,102,175
540741,Tejidos de hilados con un contenido de filamentos de nailon o demás poliamidas >= 85% en peso; ...,3,2,0,1,30,32,71,49,161,6,50,5,55,46,176,50,6,2,37,175
283311,Sulfato de disodio,170,12,14,34,972,69,18,22,25,19,25,36,13,96,35,38,88,48,153,174
830810,Corchetes; ganchos y anillos para ojetes; de metal común; para prendas de vestir; calzado; ...,68,128,149,392,57,68,136,161,210,191,158,70,81,83,96,93,136,137,81,174
391530,Desechos; desperdicios y recortes;; de polímeros de cloruro de vinilo,0,0,1,68,33,20,109,255,63,84,54,70,114,152,153,179,241,188,90,174
440290,Carbón vegetal; incluso aglomerado (exc. ​​de bambú o de cáscara o nuez; carbón vegetal utilizado ...,0,0,0,0,0,49,44,39,61,41,40,69,59,67,76,101,62,104,66,174
401490,Artículos de higiene o de farmacia; de caucho vulcanizado sin endurecer; incl. con partes de ...,68,27,32,29,42,52,33,67,115,89,95,55,39,193,146,155,145,171,104,173
854150,Dispositivos de material semiconductor; n.c.o.p.,14,4,22,8,12,26,64,64,83,73,58,23,22,55,37,15,54,44,189,173
820510,Herramientas de taladrar o roscar; incl. las terrajas; de mano,106,113,100,104,154,218,186,287,138,126,104,183,79,88,121,133,142,158,106,173
843410,Máquinas de ordeñar,176,263,253,230,110,353,159,200,121,119,237,100,181,48,324,139,160,161,74,172
732510,Las demás manufacturas moldeadas de fundición; hierro o acero - De fundición no maleable,50,21,33,15,75,35,13,34,5,20,137,110,34,328,125,110,176,310,186,172
290543,Manitol,10,0,6,23,3,24,22,16,15,16,30,18,15,14,15,13,23,30,54,172
843352,Máquinas y aparatos de trillar (exc. cosechadoras-trilladoras),9,34,14,41,105,257,310,35,15,76,41,60,121,39,99,133,77,191,100,172
960400,Tamices; cedazos y cribas; de mano,14,58,73,37,39,140,129,106,170,182,64,44,46,64,60,50,60,55,78,172
580639,Cintas de materia textil distintas del algodón o de las fibras sintéticas o artificiales; tejidas; ...,36,67,51,30,47,157,68,108,138,186,112,164,97,87,162,86,90,98,40,172
250510,Arenas silíceas y arenas cuarzosas; incl. coloreadas,79,54,83,86,134,95,162,121,202,192,261,297,331,405,412,558,265,198,124,171
848710,Hélices para barcos y sus paletas,0,0,0,0,0,9,22,14,44,48,107,82,65,71,106,102,97,232,113,171
731812,Tornillos para madera; de fundición; hierro o acero (exc. tirafondos),135,113,333,121,197,315,437,99,127,273,248,95,109,134,104,151,122,107,79,171
721790,Alambre de hierro o acero sin alear; enrollado; revestido (exc. revestido con metales comunes; ...,92,182,69,247,226,142,467,114,286,383,323,303,287,348,280,252,332,110,70,171
850590,Electroimanes (exc. los usados en medicina); platos; mandriles y dispositivos magnéticos o ...,19,23,4,22,33,30,102,59,83,60,120,158,118,250,280,223,101,125,92,170
846239,Cizallas; para productos planos (exc. ​​líneas de corte longitudinal; líneas de corte longitudinal; ...,26,2,45,20,79,22,19,40,62,65,31,21,54,27,119,773,45,64,30,170
640199,Calzado impermeable con suela y parte superior de caucho o de plástico; cuya parte superior ...,2842,2771,2781,2027,1706,2705,2241,753,1635,1659,2107,1240,311,457,845,964,361,252,104,169
722592,"""Productos planos de aceros aleados; distinto del acero inoxidable; de anchura >= 600 mm; laminados ...",1344,0,0,497,321,0,0,0,0,0,0,0,0,0,2875,81,0,0,0,169
520852,Tejidos de algodón; con un contenido de algodón >= 85% en peso; de peso > 100 g/m² pero <= ...,35,0,0,15,21,8,7,15,26,5,6,33,13,12,4,41,14,176,47,169
681510,Manufacturas de grafito u otros carbonos (exc. para usos eléctricos),5,4,0,14,30,43,22,17,54,60,60,52,86,125,122,244,252,240,187,169
291712,Ácido adípico y sus sales y ésteres,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,53,133,205,112,169
841239,"""Motores neumáticos (exc. motores neumáticos con movimiento rectilíneo """"cilindros"""")""",4,2,1,13,27,48,55,38,55,102,55,53,43,76,80,114,144,232,106,168
840810,"""Motores de émbolo """"pistón"""" de encendido por compresión """"motores diesel o semi-diesel""""; ...",55,339,207,47,19,25,196,116,71,175,158,36,177,128,121,264,448,364,215,168
961100,Fechadores; sellos; numeradores; timbradores y artículos similares; incluidos los aparatos ...,34,62,54,83,113,134,108,70,203,447,460,623,141,170,156,208,173,182,89,168
200969,Jugo de uva; incl. el mosto; sin fermentar y sin adición de alcohol; incl. con adición de azúcar ...,0,78,77,84,236,318,338,454,526,405,457,422,376,582,330,159,134,81,74,168
701919,"""Tortas de fibra de vidrio """"tortas textiles"""" y hebras de fibra de vidrio cortadas de una ...",214,206,1464,473,621,1131,474,368,195,503,312,148,267,504,133,370,88,373,6,168
610590,"""Camisas de punto; de materia textil; para hombres o niños (exc. de algodón o de fibras sintéticas ...",1839,95,663,132,227,249,173,431,77,288,239,223,332,218,417,445,592,439,114,167
853222,Condensadores electrolíticos de aluminio (exc. condensadores de potencia),25,17,31,37,42,58,31,20,119,59,96,127,81,285,198,203,205,190,154,166
680223,Granito y sus manufacturas; simplemente talladas o aserradas; con superficie plana o lisa (exc. ...,64,92,152,277,213,161,442,201,212,419,226,120,204,117,316,387,421,361,119,166
