Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
050790,"""Concha """"caparazón"""" de tortuga; ballenas de mamíferos marinos; incl. las barbas; cuernos; ...",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040700,Huevos de ave con cáscara (cascarón); frescos; conservados o cocidos,5642,979,133,678,244,158,29,0,1173,0,0,0,0,0,0,0,0,0,0,0
040711,Los huevos fertilizados para la incubación de aves domésticas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,61,0
040891,"""Huevos de ave sin cáscara """"cascarón""""; secos; incl. con adición de azúcar u otro edulcorante ...",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
040520,Pastas lácteas para untar; con un contenido de materias grasas >= 39% en peso pero < 80% en ...,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040590,"""Grasas de la leche; así como mantequilla """"manteca"""" deshidratada y """"ghee"""" (exc. mantequilla ...",79,0,0,0,0,0,0,0,0,0,0,2,5,5,6,0,0,0,0,0
040620,Quesos y requesón - Queso de cualquier tipo; rallado o en polvo,0,2,0,2,0,3,0,0,0,0,0,0,0,0,7,10,1,3,0,0
040630,Queso fundido (exc. rallado o en polvo),0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
030290,Hígados; huevas o lechas comestibles; frescos o refrigerados,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0
030281,Cazón fresco o refrigerado y otros tiburones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
030282,"""Frescos o refrigerados; y rayas """"Rajidae""""""",0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0
030283,"""Róbalos de profundidad """"Dissostichus spp.""""; frescos o refrigerados""",0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0
030284,"""Lubina fresca o refrigerada """"Dicentrarchus spp.""""""",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
030319,Salmónidos congelados (excepto la trucha y el Pacífico; Atlántico y salmón del Danubio),0,0,153,100,5,0,0,0,0,0,775,196,18,0,0,0,0,0,0,0
030321,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
030329,Perca del Nilo (Lates niloticus) y cabezas de serpiente (Channa spp.) congeladas,0,0,668,890,1697,3447,3265,260,1,732,1805,1161,2052,596,1,67,17,2,0,0
030331,"""Halibut """"fletán"""" """"Reinhardtius hippoglossoides""""; """"Hippoglossus hippoglossus"""" e """"Hippoglossus ...",0,12,4,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0
030332,"""Sollas """"Pleuronectes platessa""""; congeladas""",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
030333,"""Lenguados """"Solea spp.""""; congelados""",0,1,2,0,0,0,0,0,2,0,1,7,0,0,137,55,0,0,0,0
030334,"""Rodaballo """"Psetta maxima"""" congelado""",0,0,0,0,0,0,0,0,0,0,0,2255,3339,1281,1930,639,0,0,0,0
030254,"""Merluza fresca o refrigerada """"Merluccius spp.; Urophycis spp.""""""",0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
030245,"""Jack y el jurel """"Trachurus spp."""" frescos o refrigerados""",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
030246,"""Cobia fresca o refrigerada """"Rachycentron canadum""""""",0,0,0,0,0,0,0,0,0,0,0,0,0,2,121,1,0,0,0,0
030235,Frescas o refrigeradas; del Atlántico y el atún rojo del Pacífico (Thunnus thynnus; Thunnus ...,0,2,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030241,"""Arenques frescos o refrigerados """"Clupea harengus; Clupea pallasii""""""",0,0,0,0,0,0,0,0,0,0,0,0,140,0,4,0,0,0,0,0
030261,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
030264,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030265,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,688,397,83,140,163,245,84,2,1,41,0,0,0,0,0,0,0,0,0,0
030267,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,0,0,0,0,0,0,3329,5377,5677,9622,11233,0,0,0,0,0,0,0,0,0
030268,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,0,0,0,0,0,0,2338,375,515,360,2156,0,0,0,0,0,0,0,0,0
030269,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,18637,12226,7053,8285,20605,19302,15653,12387,21691,24176,29279,0,0,0,0,0,0,0,0,0
030270,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,24,12,5,2,3,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0
030233,"""Listados o bonitos de vientre rayado """"Euthynnus -Katsuwonus- pelamis""""; frescos o refrigerados""",32,120,36,101,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030224,"""Rodaballo fresco o refrigerado """"Psetta maxima""""""",0,0,0,0,0,0,0,0,0,0,0,523,139,32,0,0,0,0,0,0
030211,"""Truchas """"Salmo trutta""""; """"Oncorhynchus mykiss""""; """"Oncorhynchus clarki""""; """"Oncorhynchus ...",1,0,3,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0
030191,"""Truchas """"Salmo trutta""""; """"Oncorhynchus mykiss""""; """"Oncorhynchus clarki""""; """"Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,15,8,3,0,0,14,0,0,0
030192,"""Anguilas vivas """"Anguilla spp.""""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0
010639,Aves vivas (excepto las aves de rapiña; psitaciformes; loros; pericos; guacamayos; cacatúas; ...,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020900,Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo; frescos; ...,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
030110,Peces vivos : Peces ornamentales,40,28,21,41,84,43,14,73,144,129,145,0,0,0,0,0,0,0,0,0
030111,Peces ornamentales; de agua dulce; vivos,0,0,0,0,0,0,0,0,0,0,0,57,0,0,3,3,2,0,0,0
010110,Caballos; asnos; mulos y burdéganos; vivos : Reproductores de raza pura,0,2,0,22,14,41,14,0,17,10,76,0,0,0,0,0,0,0,0,0
010111,Caballos reproductores de raza pura.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010119,Los demas caballos vivos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010190,Mulos y burdéganos; vivos,3,30,68,33,38,41,11,15,22,72,18,0,0,0,0,0,2,0,3,0
010290,Los bovinos vivos (excepto ganado y búfalos),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010511,Gallos y gallinas de las especies domésticas; vivos; de peso <= 185 g,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,203,0,0,0,0,0
010599,"""Patos; gansos; pavos """"gallipavos"""" y pintadas de las especies domésticas; vivos; de peso ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010600,Los demas animales vivos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020130,Carne deshuesada; de bovinos; fresca o refrigerada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
020220,Trozos de bovinos; sin deshuesar; congelados (exc. canales o medias canales),0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
020230,Carne deshuesada; de bovinos; congelada,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0
020319,Carne de porcinos; fresca o refrigerada (exc. canales o medias canales; así como piernas; paletas ...,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
020423,Carnes deshuesadas de ovinos; frescas o refrigeradas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
020500,Carne de animales de las especies caballar; asnal o mular; fresca; refrigerada o congelada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020629,Despojos de bovinos; comestibles; congelados (exc. lenguas e hígados),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
020711,Gallos y gallinas de especies domésticas; sin trocear; frescos o refrigerados,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
020712,Gallos y gallinas de especies domésticas; sin trocear; congelados,2767,178,0,45,249,259,98,0,0,0,0,0,0,0,0,0,0,0,0,0
020714,Trozos y despojos comestibles; de gallo o de gallina; de especies domésticas; congelados,878,0,0,0,17,375,413,424,433,353,70,38,185,0,0,0,0,0,0,0
020725,"""Pavos """"gallipavos"""" de especies domésticas; sin trocear; congelados""",0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020727,"""Trozos y despojos comestibles; de pavo """"gallipavo""""; de especies domésticas; congelados""",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020810,Carne y despojos comestibles; de conejo o de liebre; frescos; refrigerados o congelados,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
020820,"""Ancas """"patas"""" de rana; frescas; refrigeradas o congeladas""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030410,Filetes y demás carne de pescado; incl. picada; frescos o refrigerados,33146,38885,31855,27536,55088,47472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030411,Filetes y demás carne de pescado (incluso picada); frescos; refrigerados o congelados : Frescos ...,0,0,0,0,0,0,629,837,527,874,2055,0,0,0,0,0,0,0,0,0
030412,Filetes y demás carne de pescado (incluso picada); frescos; refrigerados o congelados : Frescos ...,0,0,0,0,0,0,0,0,0,690,1158,0,0,0,0,0,0,0,0,0
030419,Filetes y demás carne de pescado (incluso picada); frescos; refrigerados o congelados : Frescos ...,0,0,0,0,0,0,48921,60087,54302,56518,52864,0,0,0,0,0,0,0,0,0
030420,Filetes congelados,15175,16520,18056,26748,26880,39352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030421,Filetes y demás carne de pescado (incluso picada); frescos; refrigerados o congelados : Filetes ...,0,0,0,0,0,0,272,194,155,652,294,0,0,0,0,0,0,0,0,0
030422,Filetes y demás carne de pescado (incluso picada); frescos; refrigerados o congelados : Filetes ...,0,0,0,0,0,0,73,0,0,380,58,0,0,0,0,0,0,0,0,0
030429,Filetes y demás carne de pescado (incluso picada); frescos; refrigerados o congelados : Filetes ...,0,0,0,0,0,0,43044,55158,55195,52784,78758,0,0,0,0,0,0,0,0,0
030444,Filetes frescos o refrigerados de pescados de las familias Bregmacerotidae; Euclichthyidae; ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
030432,"""Filetes frescos o refrigerados de bagre """"Pangasius spp. Silurus spp. Clarias spp. Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
030495,"""Carne congelada; incluso picada; de peces de las familias Bregmacerotidae; Euclichthyidae; ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
