Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
860692,"""Vagones para transporte de mercancías; sobre carriles """"rieles""""; abiertos; con pared fija ...",18,2751,85,22126,9254,0,14421,3280,0,0,3914,420,3024,8407,351,266,7821,469,0,0
860699,"""Vagones para transporte de mercancías; sobre carriles """"rieles"""" (exc. los especialmente concebidos ...",27,4,11,28,0,0,10694,2897,993,0,1238,887,0,729,0,1133,223,449,3,0
860711,"""Bojes y """"bissels""""; de tracción propios de vehículos para vías férreas o simil.""",0,24,0,200,533,9733,823,939,1118,3545,16434,9099,11087,8912,0,254,475,1448,192,0
860500,Coches de viajeros; furgones de equipajes; coches correo y demás coches especiales; para vías ...,0,2557,4417,57078,22092,17763,0,3417,117833,101570,8,22441,16777,8393,74170,28334,8657,12373,0,0
860610,"""Vagones cisterna y simil.; sobre carriles """"rieles""""""",0,696,0,0,0,0,0,0,1232,5,0,2074,1729,0,0,0,0,0,0,0
860630,"""Vagones de descarga automática; sobre carriles """"rieles"""" (exc. vagones cisterna y simil.; ...",0,0,0,0,480,36,0,0,0,0,45,0,0,0,0,0,0,0,0,0
860290,Locomotoras y locotractores (exc. los de fuente externa de electricidad o de acumuladores eléctricos; ...,0,0,0,0,0,0,0,0,0,360,0,5,182,0,0,1125,0,447,0,0
860310,Automotores para vías férreas y tranvías autopropulsados; de fuente externa de electricidad ...,0,3835,15629,108905,48002,67663,0,7590,307188,145526,0,24279,18162,16785,145073,56667,17369,24748,0,0
860390,Automotores para vías férreas y tranvías autopropulsados (exc. los de fuente externa de electricidad; ...,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
860110,Locomotoras y locotractores; de fuente externa de electricidad,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860120,Locomotoras y locotractores; de acumuladores eléctricos,0,0,0,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
