Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
220429,Vino de uvas frescas; incl. encabezado; y mosto de uva en el que la fermentación se ha impedido ...,2288,2849,2307,2635,4124,6425,5104,3730,6159,4861,2943,9137,7392,5416,6902,9485,13057,0,0,3185
282739,Cloruros (exc. de amonio; calcio; magnesio; aluminio; hierro; cobalto; níquel y cinc),1291,1043,797,1252,1499,3146,4819,7650,2891,3218,2797,2798,3324,2414,2622,2710,3705,4078,2571,3177
292211,Monoetanolamina y sus sales,475,747,507,336,737,1514,2840,2578,2475,1974,1938,2474,2215,3465,3555,2945,3014,3068,2058,3165
280440,Oxígeno,1483,1555,969,1089,2209,3062,3420,1000,1878,1896,1938,1211,954,963,932,957,1307,1454,2536,3158
950640,Artículos y material para tenis de mesa,943,1158,1147,1930,2591,3722,2076,2660,2970,2922,1471,1696,1522,1455,998,2417,2463,3049,6216,3146
920999,"""Partes y accesorios """"tarjetas; discos y rollos para aparatos mecánicos"""" de acordeones e ...",4416,5065,5586,6890,9282,6052,6262,4924,5657,5388,5431,5446,4843,5501,4597,5344,5291,4659,2891,3142
854590,Artículos de grafito u otros carbonos; para usos eléctricos (exc. electrodos y escobillas),6475,13194,4607,5131,6306,8094,10095,6546,7457,6260,5277,4704,3702,2565,7159,4025,7323,4336,2814,3137
820820,Cuchillas y hojas cortantes; de metal común; para máquinas o aparatos mecánicos; para trabajar ...,1825,2019,2039,2227,2199,2446,1822,1314,1945,2017,2399,2273,2547,2689,3337,4478,5170,3166,3013,3135
410799,Trozos; hojas o placas de cueros preparados después del curtido o del secado y cueros y pieles ...,23232,30241,19954,18094,16840,19203,30122,31255,32920,18483,13264,8091,9989,10180,16932,17990,10981,6558,3271,3133
292800,Derivados orgánicos de la hidrazina o de la hidroxilamina,2334,2365,3143,3007,3015,2927,3258,3967,2992,4558,2991,3192,3469,4179,3703,4673,5085,5995,4449,3130
854089,Lámparas; tubos y válvulas electrónicos (exc. tubos receptores o amplificadores; tubos para ...,2347,3421,3441,3696,80039,157678,6513,3193,3810,6257,11270,11147,3908,3876,4665,4855,5196,3756,4243,3126
844230,Máquinas; aparatos y material para fundir caracteres o para preparar o fabricar clisés; planchas; ...,7856,3705,3303,3178,5133,7438,8736,9541,11974,9815,8752,10592,8499,9688,7050,9440,7170,7535,3553,3124
110290,Harinas de cereales (excepto el trigo; el morcajo y el maíz),1066,1073,860,477,1262,2203,2126,1729,2024,2693,3207,3070,2793,3327,4390,4241,4328,3468,3833,3119
620690,Camisas; blusas y blusas camiseras; de materia textil; para mujeres o niñas (exc. de seda o ...,3091,3802,4122,3261,3102,4429,3263,2432,3437,4378,2448,3429,3499,3410,2551,3025,4273,5902,3487,3117
970300,Obras originales de estatuaria o escultura; de cualquier materia,1624,3296,1341,1839,2233,3545,5491,1870,1668,2820,3659,4380,6177,12769,59849,6220,9379,10558,7002,3080
720927,Productos planos de hierro o acero sin alear; de anchura >= 600 mm; sin enrollar; simplemente ...,3374,1291,2634,4689,4951,2386,4411,1211,2430,2885,3311,3435,2669,3045,2035,2608,3672,2928,2229,3078
292217,Metildietanolamina y etildietanolamina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3068
842389,Instrumentos e aparatos de pesar; con capacidad > 5.000 kg,2913,2464,2968,2205,3443,3310,3621,34107,3813,3084,4983,3989,4253,3494,3449,5958,4494,2745,2003,3064
401019,Correas transportadoras; de caucho vulcanizado (exc. correas reforzadas solamente con metal; ...,10629,2418,3481,3616,3514,3079,3418,2338,5845,3898,3587,3322,4409,3608,4442,4333,4458,3413,3034,3063
550330,Fibras discontinuas acrílicas o modacrílicas; sin cardar; peinar ni transformar de otra forma ...,7734,9634,5915,4707,9421,10982,13821,6070,9942,14545,9605,9243,11090,11245,9711,10422,14774,8759,5146,3044
722880,Barras huecas para perforación; de aceros aleados o sin alear,1575,2516,3889,4160,5495,9549,7319,6719,8574,12031,14105,12052,9996,9703,8104,10616,11720,9491,10310,3032
842619,Puentes (exc. puentes rodantes sobre soporte fijo; pórticos móviles sobre neumáticos y carretillas ...,6728,8909,13255,6147,6587,14890,12599,29723,6908,7982,14469,17216,17336,79840,49882,18705,42447,15485,6295,3030
732189,Estufas; calderas con hogar para hacer la colada; braseros y demás aparatos simil. de uso doméstico; ...,0,0,0,0,0,0,754,524,987,1296,863,1346,1634,1804,1456,1882,2233,1321,1595,3017
282720,Cloruro de calcio,532,708,1067,787,998,952,1322,1107,1669,1302,969,1723,1963,2334,2080,2410,3122,3155,3298,3014
846140,Máquinas de tallar o acabar engranajes; para metal (exc. máquinas de cepillar; limar; mortajar ...,6527,13621,26944,21702,24520,67339,42646,9479,19254,25627,36034,32653,25272,30074,33579,36092,33875,12032,13384,3013
640220,"""Calzado con suela y parte superior de caucho o plástico; con la parte superior de tiras o ...",649,1131,1690,2565,4623,5133,7212,5978,6366,7063,9507,10030,11501,10168,7790,7756,9718,7009,0,3013
442010,Estatuillas y demás objeto de adorno; de madera (exc. marquetería y taracea),3604,3982,4425,3993,5059,6668,6943,4620,4924,5028,4039,4316,3976,3987,4344,4314,4723,3997,2259,3008
441919,Artículos de mesa o de cocina; de bambú (excl. Palillos; tablas de cortar; tablas de cortar ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3006
920590,Instrumentos musicales de viento,2003,2277,2619,2315,3383,4954,5391,4495,3979,4988,7696,7397,4207,7551,7282,4739,4888,4713,2360,3001
521049,Tejidos de algodón; con un alto contenido de algodón; pero < 85% en peso; mezclado exclusiva ...,8117,8952,8903,19550,9392,14783,26057,14966,13834,10109,6991,5134,4364,6367,7055,6919,7768,6189,2922,2994
290621,Alcohol bencílico,713,783,780,982,1158,1541,1446,1553,1878,1958,2407,2409,3246,2291,2498,8261,11695,4742,11444,2987
200110,Pepinos y pepinillos; preparados o conservados en vinagre o en ácido acético,1907,1849,1687,1484,1517,1483,1507,1471,1585,1643,1751,1879,1627,1698,1611,2157,2234,2704,2728,2986
300630,Preparaciones opacificantes para exámenes radiológicos; reactivos de diagnóstico concebidos ...,15442,12894,17070,9006,12588,16405,11120,10507,17597,23374,24446,21720,12446,18633,21300,22758,23360,13607,11620,2985
020712,Gallos y gallinas de especies domésticas; sin trocear; congelados,1622,496,63,754,4316,2576,4957,4212,1885,2204,4395,7083,1333,591,697,1513,714,1587,0,2977
850640,Pilas y baterías de pilas; de óxido de plata (exc. inservibles),975,1023,965,834,846,963,813,942,1003,1011,855,1134,1299,1195,1154,1189,1269,1331,998,2972
701400,Vidrio para señalización y elementos de óptica de vidrio (excepto los de la partida 7015); ...,2369,2188,3336,3463,3833,3763,3999,2781,3368,3720,5230,7324,12408,12721,12283,10855,8414,9093,4266,2970
845521,Laminadores para metal; para laminar en caliente o combinados para laminar en caliente y en ...,257,21535,3102,6408,67357,2462,49040,92221,273081,126677,100353,54746,108523,18045,39750,99773,38937,265223,105216,2970
251741,Gránulos; tasquiles y polvo de mármol; incl. tratados térmicamente,126,155,109,175,222,214,375,383,595,827,1305,1301,1268,1641,1695,1799,2482,2644,3237,2968
580890,Artículos de pasamanería y ornamentales análogos; de materia textil; en pieza; sin bordar (exc. ...,9852,6858,5930,5276,6199,4582,3713,2951,4408,6908,6470,5765,6776,6254,6164,6807,5506,4550,2605,2945
750521,Alambre; de níquel sin alear (exc. artículos aislados; para electricidad),1218,1944,3217,4618,6168,5371,5245,2482,3562,3746,2427,2441,2790,1926,1593,998,2464,2957,4117,2937
611692,Guantes; manoplas y manoplas; de algodón; de punto (exc. ​​impregnados; recubiertos; revestidos ...,3443,3335,3951,3781,4059,4197,3549,1552,2531,3215,3137,3097,4074,3899,3887,3783,4544,3536,2568,2930
151519,"""Aceite de lino """"de linaza"""" y sus fracciones; incl. refinados; sin modificar químicamente ...",380,395,598,757,1245,2118,4493,3263,3505,4355,4444,3130,3543,2914,3007,2819,3060,2169,2055,2925
854330,Máquinas y aparatos electricos de galvanotecnia; electrólisis o electroforesis,4068,3883,5657,9466,4999,4862,7072,8863,3846,12377,44322,103148,19076,34311,20683,20410,25627,11272,21701,2916
283522,Fosfato de monosodio o disodio,322,395,406,569,709,1231,2224,2283,1986,2189,2203,2771,2481,2842,3874,3202,3220,2582,2540,2914
721113,"""Productos planos anchos; también llam. """"planos universales""""; de hierro o acero sin alear; ...",579,212,580,473,645,1672,7,82,46,22,40,8,1,22,17,25,7,1571,1440,2913
950720,"""Anzuelos; incl. montados en sedal """"tanza""""""",4727,4949,3665,3976,3872,4163,4524,3798,3330,3279,3150,3394,2930,2712,2563,2276,2660,2156,2062,2906
292121,Etilendiamina y sus sales,2473,2239,2148,3349,4070,3721,4136,5473,4418,5680,6130,6895,5626,4461,3391,2798,3483,2353,1888,2900
270799,Aceites y demás productos de la destilación de los alquitranes de hulla de alta temperatura; ...,10399,12001,3511,987,1043,2478,3665,3299,4308,6018,5994,6750,9507,3736,1638,2551,3373,2830,2314,2889
270111,Antracita; incluso pulverizadas; sin aglomerar,4321,4031,4608,5485,4072,1822,1717,1150,4281,9737,12477,12229,3021,6002,7120,7394,10372,0,5369,2884
520922,Tejidos de algodón; con un contenido de algodón >= 85% en peso; de peso > 200 g/m²; de ligamento ...,3079,4503,6971,3739,2485,1538,1901,1570,3783,6713,5635,6020,5123,6461,5664,6142,9465,5973,2785,2879
293719,Hormonas polipeptídicas; hormonas proteicas y hormonas glucoproteicas; sus derivados y análogos ...,3400,1205,1382,1127,1556,2483,4390,4574,6128,4373,4227,3976,3544,10394,9738,12799,18809,7723,5364,2877
290499,"""Derivados sulfonados; nitrados o nitrosados los hidrocarburos; incluso halogenados (exc. ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2877
630210,Ropa de cama; de punto,628,529,451,941,738,954,736,493,562,1132,1297,1756,2363,2397,2990,2872,2959,4428,2546,2875
330124,"""Aceites esenciales de menta piperita """"Mentha piperita""""; desterpenados o no; incl. los """"concretos"""" ...",12776,13458,9256,8246,9459,10276,8576,5817,3653,3006,3016,3895,3677,3902,4030,3852,4128,3749,3694,2870
283110,Ditionitos y sulfoxilatos; de sodio,6859,6988,8759,8209,8469,10408,12632,10350,9857,10762,12956,14342,3918,15035,11128,12302,14994,8620,1016,2867
761490,Cables; trenzas y artículos simil.; de aluminio; sin aislar para electricidad (exc. con alma ...,867,3078,376,234,98,381,1044,863,318,768,3067,3396,2479,11441,8779,9054,9491,5723,4407,2841
847439,Máquinas y aparatos de mezclar o malaxar materias minerales sólidas; incl. el polvo y las pastas ...,4235,16159,8149,8426,13798,10684,15209,20336,10280,14760,17911,13020,13551,6377,11664,17997,9982,12742,6484,2840
901510,Telémetros,179,381,711,439,487,455,621,263,625,1271,3584,1906,1875,2154,1683,2096,2658,2184,1583,2836
540793,Tejidos de hilados con un alto contenido de filamentos sintéticos; pero < 85% en peso; incl. ...,12145,5681,5695,7284,7721,7397,7594,4501,3780,4023,4132,4152,3908,4273,4127,4953,4565,5290,2434,2835
842649,Grúas móviles y carretillas grúa (exc. sobre neumáticos y carretillas puente),8798,5621,13829,11494,26034,34612,25320,33160,41607,39551,50196,71018,58656,70759,23479,11229,13125,3162,4572,2829
210112,Preparaciones a base de extractos; esencias o concentrados de café o a base de café,5774,7194,9108,8980,6846,9180,5694,5672,8206,8091,12100,14345,12620,12516,13054,11122,12929,9546,11752,2829
040390,"""Suero de mantequilla """"de manteca""""; leche y nata """"crema"""" cuajadas; kéfir y demás leches ...",19317,18552,16442,24762,19319,55977,65190,41265,40162,52566,28916,36598,22439,21697,27917,31519,27683,18963,0,2824
900580,Catalejos; anteojos astronómicos; telescopios ópticos y sus armazones; los demás instrumentos ...,7931,9219,6766,7299,6133,9697,4133,6412,5385,4124,6446,3482,2784,2030,2615,3132,2925,2592,1966,2823
090620,Canela y flores de canelero; trituradas o pulverizadas,724,670,784,930,1252,1354,1538,1106,1131,1693,1970,2042,1927,2655,2637,3676,4563,5028,5056,2813
030499,Congelados de carne de pescado ncop (exc. ??filetes),0,0,0,0,0,0,4313,3564,4835,4811,6087,9387,9280,9528,6972,8605,8979,6649,2121,2808
382460,"""Sorbitol (exc. D-glucitol """"sorbitol"""")""",214,213,530,100,4269,8406,13148,13247,10085,7979,10820,15648,16261,13718,6684,8176,5123,3769,4673,2804
080550,"""Limones """"Citrus limon; Citrus limonum"""" y limas """"Citrus aurantifolia; Citrus latifolia""""; ...",459,496,433,376,419,630,452,354,674,1357,1105,986,2885,1908,2626,3266,4336,0,0,2798
551110,Hilados con un contenido de fibras sintéticas discontinuas >= 85% en peso; acondicionados para ...,708,1128,1342,1504,1796,3209,2766,1901,3521,3602,2863,2317,1998,2904,2935,2823,3432,2656,2212,2785
610423,Conjuntos de punto; de fibras sintéticas; para mujeres o niñas (exc. conjuntos de esquí y trajes ...,4145,3679,2132,1826,1388,1144,905,524,438,504,410,325,417,395,403,522,1129,2174,1164,2784
840910,"""Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ...",3312,4389,4035,2663,7100,7025,7614,4722,4413,4138,2483,3479,2171,2916,2807,2858,3964,3306,2318,2777
080450,Guayabas; mangos y mangostanes; frescos o secos,1353,2816,1844,1845,2280,3097,2575,3234,3107,3043,6076,5714,2477,5115,5482,7177,9004,5949,5757,2777
845612,Máquinas herramienta para trabajar materiales por remoción de material; operado por haces de ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749
291512,Sales del ácido fórmico,1100,1236,1583,1453,1757,1465,1564,1952,2485,2249,2945,2232,2072,2354,2288,3574,4316,3637,2352,2736
830400,Clasificadores; ficheros; cajas de clasificación; bandejas de correspondencia; plumeros (vasos ...,1216,1246,1297,1273,1766,2040,1700,1196,1584,1555,1979,2028,2418,2526,2562,2161,2308,2457,1838,2727
381511,Catalizadores sobre soporte; con níquel o sus compuestos como sustancia activa; n.c.o.p.,7380,3448,7138,11400,12020,12144,24179,6659,9727,15523,24442,12694,12438,9334,6594,13588,6180,3812,9458,2707
420600,Manufacturas de tripa; vejigas o tendones,0,0,0,0,0,0,1343,2120,8897,9563,12107,11116,11583,12470,8212,9066,8767,9775,8792,2698
551323,Tejidos de fibras sintéticas discontinuas; con un alto contenido de fibras discontinuas de ...,3482,6252,3517,1477,2051,2688,3989,2884,2224,2686,5629,5122,4963,5164,3806,3658,2351,2263,1310,2683
520852,Tejidos de algodón; con un contenido de algodón >= 85% en peso; de peso > 100 g/m² pero <= ...,18410,14815,16010,12032,7583,7624,6431,5087,7074,6548,7566,8694,9091,15530,13338,10423,10597,7599,3519,2680
251320,Esmeril; corindón natural; granate natural y demás abrasivos naturales; incl. tratados térmicamente,1690,1782,1849,2455,1580,1075,1081,961,1255,1512,2643,3652,3228,3806,3017,3080,3226,3565,3220,2664
440794,"""Cereza """"Prunus spp.""""; aserrada o desbastada longitudinalmente; cortada o desenrollada; de ...",0,0,0,0,0,0,1617,494,623,1348,1262,1688,1968,2389,2674,3119,2517,2303,2320,2654
820330,Cizallas para metal y herramientas simil.; de mano; de metal común,1095,861,787,980,1287,1509,1328,1070,1363,1862,2136,1994,2326,2632,2497,3686,3924,3452,2560,2653
481390,"""Papel de fumar; incl. cortado al tamaño adecuado (exc. en librillos o en tubos; así como en ...",1904,1722,1712,1623,2337,2095,2487,2862,5366,5599,3090,4043,456,4796,4535,5644,5548,6324,5162,2650
940610,Construcciones prefabricadas de madera; si es o no completa o ya montado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2643
040310,Yogur; incl. aromatizado; con adición de azúcar u otro edulcorante; frutas o cacao,2527,2309,1758,1564,2094,1848,1777,1613,1518,2162,2200,2975,5462,5308,8468,13913,10595,14112,0,2642
