Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
030259,Pescado fresco o refrigerado de la Bregmacerotidae familias; Euclichthyidae; Gadidae; Macrouridae; ...,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0
030261,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030264,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,11,3,22,42,18,134,37,57,131,5,0,0,0,0,0,0,0,0,0,0
030265,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,152,82,35,17,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030266,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030267,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,0,0,0,0,0,3617,1639,2524,4348,4522,0,0,0,0,0,0,0,0,0,0
030268,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,0,0,0,0,0,6069,3753,2367,2328,1047,0,0,0,0,0,0,0,0,0,0
030269,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,47024,59548,65450,61283,54903,55352,51319,43938,41048,34883,0,0,0,0,0,0,0,0,0,0
030270,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,59,13,8,125,3,33,1,0,2,5,0,0,0,0,0,0,0,0,0,0
030279,"""Perca del Nilo """"Lates niloticus"""" y cabezas de serpiente """"Channa spp."""" fresca o refrigerada""",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
030281,Cazón fresco o refrigerado y otros tiburones,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
030282,"""Frescos o refrigerados; y rayas """"Rajidae""""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
030283,"""Róbalos de profundidad """"Dissostichus spp.""""; frescos o refrigerados""",0,0,0,0,0,0,0,0,0,0,752,13,0,0,183,46,0,0,0,0
021090,Los demas; incluidos la harina y el polvo comestible; de carne o despojos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030110,Peces vivos : Peces ornamentales,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030119,Peces ornamentales vivos (agua dulce excl.),0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
030191,"""Truchas """"Salmo trutta""""; """"Oncorhynchus mykiss""""; """"Oncorhynchus clarki""""; """"Oncorhynchus ...",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
030199,Peces vivos (exc. ??peces ornamentales; la trucha [Salmo trutta; Oncorhynchus mykiss; Oncorhynchus ...,567,307,245,143,127,223,76,0,19,242,5,180,133,3,311,283,602,468,63,0
030219,Salmónidos frescos o refrigerados (exc. truchas; salmones del Pacífico; salmones del Atlántico ...,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
030221,"""Halibut """"fletán"""" """"Reinhardtius hippoglossoides""""; """"Hippoglossus hippoglossus"""" e """"Hippoglossus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030222,"""Sollas """"Pleuronectes platessa""""; frescas o refrigeradas""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030223,"""Lenguados """"Solea spp.""""; frescos o refrigerados""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030229,"""Pescados planos; frescos o refrigerados """"Pleuronectidae; Bótidos; Cynoglósidos; Soleidae; ...",2495,2007,1961,2032,1781,2796,2287,2354,2191,2379,1492,601,201,79,41,79,0,0,0,0
030231,"""Albacoras o atunes blancos """"Thunnus alalunga""""; frescos o refrigerados""",679,7,0,0,15,1,52,23,0,0,0,0,177,3,14,0,0,0,0,0
030232,"""Atunes de aleta amarilla o rabiles """"Thunnus albacares""""; frescos o refrigerados""",8,4,0,9,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
030233,"""Listados o bonitos de vientre rayado """"Euthynnus -Katsuwonus- pelamis""""; frescos o refrigerados""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030234,"""Patudos o atunes ojo grande """"Thunnus obesus""""; frescos o refrigerados""",2,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030235,Frescas o refrigeradas; del Atlántico y el atún rojo del Pacífico (Thunnus thynnus; Thunnus ...,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030239,"""Atunes frescos o refrigerados del género """"Thunnus"""" (sin Thunnus alalunga; Thunnus albacares; ...",0,0,0,0,0,0,0,0,0,0,1,0,0,31,3,0,0,0,0,0
030244,"""Caballas """"Scomber scombrus""""; """"Scomber australasicus""""; """"Scomber japonicus""""; frescos o ...",0,0,0,0,0,0,0,0,0,0,5,0,2,19,0,0,0,0,0,0
030245,"""Jack y el jurel """"Trachurus spp."""" frescos o refrigerados""",0,0,0,0,0,0,0,0,0,0,612,924,828,760,390,277,343,115,67,0
030343,Listados o bonitos de vientre rayado; congelados,0,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0
030346,"""Atunes del sur """"Thunnus maccoyii""""; congelados""",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030350,"""Arenques """"Clupea harengus""""; """"Clupea pallasii""""; congelados""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030352,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Arenques ...,0,0,0,0,0,92,2,0,0,2,0,0,0,0,0,0,0,0,0,0
030359,"""Anchoas congeladas """"Engraulis spp.""""; Caballas indias """"Rastrelliger spp.""""; Pez espárragos ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
030360,"""Bacalaos """"Gadus morhua""""; """"Gadus ogac""""; """"Gadus macrocephalus""""; congelados""",0,0,6,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030361,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Pez espada ...,0,0,0,0,0,2745,15,322,485,1599,0,0,0,0,0,0,0,0,0,0
030362,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Pez espada ...,0,0,0,0,0,19407,26822,19478,30280,43026,0,0,0,0,0,0,0,0,0,0
030319,Salmónidos congelados (excepto la trucha y el Pacífico; Atlántico y salmón del Danubio),147760,170090,187618,274590,276433,272176,309608,410024,403840,607978,19224,106,0,0,0,0,0,0,0,0
030321,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,97191,126529,159949,182108,243936,265233,314420,268333,400466,477236,0,0,0,0,0,0,0,0,0,0
030322,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,28462,21920,55678,99531,144690,92754,151758,171999,77896,161698,0,0,0,0,0,0,0,0,0,0
030326,"""Anguilas """"Anguilla spp.""""; congeladas""",0,0,0,0,0,0,0,0,0,0,23,153,6,0,0,0,0,0,0,0
030329,Perca del Nilo (Lates niloticus) y cabezas de serpiente (Channa spp.) congeladas,2,5,56,1013,105,0,71,53,27,11,7,84,34,0,0,0,0,0,185,0
030339,"""Peces planos """"Pleuronectidae; Bótidos; Cynoglósidos; Soleidae; Escoftálmidos y Citáridos"""" ...",337,201,250,660,985,200,33,5,1,0,1,43,0,0,0,0,0,0,0,0
030341,"""Albacoras o atunes blancos """"Thunnus alalunga""""; congelados""",0,11,0,0,0,25,61,0,24,19,5,127,30,119,1921,104,24,0,432,0
030384,"""Lubina """"Dicentrarchus spp."""" congelada""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
030371,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,2103,4174,1318,608,474,164,58,25,36,36,0,0,0,0,0,0,0,0,0,0
030374,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,1455,1187,2677,4237,4027,2029,350,545,598,29,0,0,0,0,0,0,0,0,0,0
030375,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,441,112,191,736,529,265,67,28,0,54,0,0,0,0,0,0,0,0,0,0
030376,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,111,66,119,163,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030377,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,6,10,0,19,7,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0
030378,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,26197,35443,35153,39481,40454,49621,53838,44569,38806,37356,0,0,0,0,0,0,0,0,0,0
030379,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Los demás ...,66218,80809,83476,109151,121807,116543,93080,122914,73688,106360,0,0,0,0,0,0,0,0,0,0
030380,Pescado congelado (excepto los filetes y demás carne de pescado de la partida 0304) : Hígados; ...,5982,3592,3698,3208,4725,4935,6970,3620,4475,3483,0,0,0,0,0,0,0,0,0,0
030381,Escualos congelados,0,0,0,0,0,0,0,0,0,0,26,1,0,0,57,0,50,0,93,0
010210,Animales vivos de la especie bovina : Reproductores de raza pura,128,83,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010110,Caballos; asnos; mulos y burdéganos; vivos : Reproductores de raza pura,1543,211,218,635,536,656,604,467,544,327,0,0,0,0,0,0,0,0,0,0
010111,Caballos reproductores de raza pura.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010119,Los demas caballos vivos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010619,Mamíferos vivos (exc. ??primates; ballenas; delfines y marsopas; manatíes y dugongos; focas; ...,1008,679,459,925,963,1060,1069,902,611,739,311,244,3,0,1,0,0,0,0,0
010620,Reptiles; incl. las serpientes y las tortugas de mar; vivos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010631,Aves de rapiña; vivas,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
010632,Psitaciformes; incl. los loros; guacamayos; cacatúas y demás papagayos,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
010639,Aves vivas (excepto las aves de rapiña; psitaciformes; loros; pericos; guacamayos; cacatúas; ...,2,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,4,0
